"GEO_ID","NAME","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E"
"0500000US06023","Humboldt County, California","1833","19117","2521","29944","2525","16085","2311","8373","1240","8148","1987","1020","478","1380","621","3630","1322","1767","746","351","294","2820","886","121","122","977","663","670","485","872","564","180","155","1042","581","45","78","571","432","303","305","123","188","0","211","74","108","66","106","0","211","0","211","8","13","0","211","92627","1199","8276","1871","22045","2557","34547","2573","18855","2387","8904","1346","80543","2571","7024"
"0500000US13063","Clayton County, Georgia","2492","49521","4650","50468","3679","23582","3162","10405","2159","10217","2449","1096","660","4217","1606","3435","1509","618","469","851","695","10004","1805","2147","1380","2859","1244","3689","1222","952","513","357","265","2998","1227","433","373","1051","613","725","489","435","330","354","422","828","575","0","226","351","321","276","239","201","273","0","226","179218","596","24871","2706","57999","4212","58593","3880","25788","3204","11967","2177","155171","4074","21195"
"0500000US13223","Paulding County, Georgia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US25009","Essex County, Massachusetts","3926","124205","6239","118230","5192","117558","5410","82723","3696","34372","4186","5381","1429","7948","1757","10075","2312","6504","1756","4464","1261","10082","2008","672","478","2392","874","2255","763","2783","965","1980","833","4919","1276","159","155","399","281","1303","706","1993","947","1065","492","3513","1563","1088","848","483","299","556","424","1022","698","364","196","549059","964","60757","3992","135427","6289","132419","5755","129860","5397","90596","3908","496173","4858","53457"
"0500000US26163","Wayne County, Michigan","5441","320891","8248","336627","8540","160445","6464","105380","4376","87031","5500","13177","1969","24168","2688","32049","3101","11184","1854","6453","1335","21760","2417","1775","738","4926","1040","6795","1518","4374","1045","3890","961","11702","2492","967","618","3300","1096","2957","1057","2560","783","1918","762","3917","1266","655","389","989","541","587","375","605","354","1081","749","1187724","439","156545","5166","354274","8406","379015","9179","179168","6748","118722","4738","1063314","5718","139971"
"0500000US29165","Platte County, Missouri","779","14922","2039","18439","1824","15666","2173","8171","1368","4211","1350","99","114","1064","576","1185","757","492","331","1371","708","4116","1136","165","134","748","481","1483","847","1210","631","510","338","2339","786","55","95","142","142","498","304","855","443","789","472","104","152","0","190","0","190","15","26","89","150","0","190","70763","825","3114","843","16876","2117","21620","2013","18312","2160","10841","1652","59993","1903","2795"
"0500000US36053","Madison County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37159","Rowan County, North Carolina","2543","29490","2732","28011","2588","12228","1711","4587","1268","4007","1292","462","339","1468","699","1455","698","354","288","268","213","3709","1388","887","575","1134","610","1282","628","270","279","136","281","2537","1266","30","49","917","708","1145","639","234","245","211","207","373","421","148","317","0","210","0","210","225","298","0","210","97566","1279","14151","2625","33009","2477","31893","2506","13311","1803","5202","1329","86940","2215","12624"
"0500000US39029","Columbiana County, Ohio","1413","31008","1895","17697","1779","7828","1445","4764","979","3810","1248","747","532","2157","1038","518","298","335","256","53","92","1644","730","117","144","414","350","378","300","592","371","143","162","683","395","0","195","286","230","287","207","110","143","0","195","165","99","0","195","165","99","0","195","0","195","0","195","73947","475","7212","1533","34030","1949","18880","1816","8865","1552","4960","995","67645","1696","6348"
"0500000US41059","Umatilla County, Oregon","1393","11737","1827","13844","1449","5425","1091","2876","738","5886","1822","1139","819","1800","1185","2297","898","591","485","59","97","1846","667","96","108","1014","499","327","229","371","386","38","75","1404","796","604","590","188","203","612","431","0","207","0","207","398","424","232","368","149","244","0","207","17","34","0","207","50726","867","9381","1682","14888","1900","17080","1498","6404","1333","2973","738","41192","1942","7310"
"0500000US42073","Lawrence County, Pennsylvania","1072","23554","1649","15693","1562","8892","1181","2944","649","3693","1047","364","272","1462","678","1151","691","628","386","88","143","1548","667","78","78","451","240","778","453","226","183","15","26","870","602","0","177","295","217","411","380","158","206","6","11","0","177","0","177","0","177","0","177","0","177","0","177","62518","393","5766","1089","25762","1567","18033","1755","9904","1208","3053","673","56407","1374","5324"
"0500000US47157","Shelby County, Tennessee","5273","154818","7281","153203","7109","102480","5209","69362","4662","52585","4705","5619","1357","15929","3124","16557","2541","8724","1916","5756","1310","2976","1031","507","374","1064","716","472","350","588","435","345","266","13293","2531","1595","1170","3461","1125","2620","949","3931","1255","1686","684","2465","817","587","399","350","332","416","283","633","389","479","295","616115","679","73241","5308","175622","8545","173268","7492","116356","5347","77628","4894","544796","5344","64933"
"0500000US13059","Clarke County, Georgia","1618","11861","1822","13784","2163","12803","1638","12552","1588","4996","1213","118","91","1408","862","696","391","1357","472","1417","624","3995","1213","273","206","1123","614","1252","609","992","491","355","237","2567","834","53","96","318","252","842","545","553","282","801","476","319","271","11","23","0","226","0","226","241","242","67","104","70855","940","8433","1666","14710","2089","16574","2110","15946","1711","15192","1407","58978","2098","7978"
"0500000US16019","Bonneville County, Idaho","1053","16107","2147","20158","1797","11563","1543","6043","1056","6220","1574","202","204","2268","1017","2142","836","1288","678","320","302","2640","1060","86","125","1029","749","753","433","508","483","264","293","3151","1174","153","228","431","279","1042","578","1193","832","332","325","110","187","0","204","0","204","0","204","110","187","0","204","71217","711","5666","1121","19835","1929","24095","2113","14662","1607","6959","1160","59096","1885","5225"
"0500000US25021","Norfolk County, Massachusetts","2940","81703","4849","98743","4489","120816","6415","116880","4515","19257","2877","924","597","3453","984","3461","978","6292","1573","5127","1265","20926","3396","1301","774","4979","1884","3846","1354","6294","1575","4506","1350","8280","2206","277","184","825","557","1978","1019","2146","774","3054","1109","3957","1233","690","588","270","284","365","328","1811","732","821","346","496198","332","28828","3014","91230","5044","108393","4917","137359","6380","130388","4861","443778","4788","25636"
