"GEO_ID","NAME","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than high school graduate","Margin of Error!!Total!!Less than high school graduate","Estimate!!Total!!High school graduate (includes equivalency)","Margin of Error!!Total!!High school graduate (includes equivalency)","Estimate!!Total!!Some college or associate's degree","Margin of Error!!Total!!Some college or associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Graduate or professional degree","Margin of Error!!Total!!Graduate or professional degree","Estimate!!Total!!Same house 1 year ago","Margin of Error!!Total!!Same house 1 year ago","Estimate!!Total!!Same house 1 year ago!!Less than high school graduate","Margin of Error!!Total!!Same house 1 year ago!!Less than high school graduate","Estimate!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Margin of Error!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Estimate!!Total!!Same house 1 year ago!!Some college or associate's degree","Margin of Error!!Total!!Same house 1 year ago!!Some college or associate's degree","Estimate!!Total!!Same house 1 year ago!!Bachelor's degree","Margin of Error!!Total!!Same house 1 year ago!!Bachelor's degree","Estimate!!Total!!Same house 1 year ago!!Graduate or professional degree","Margin of Error!!Total!!Same house 1 year ago!!Graduate or professional degree","Estimate!!Total!!Moved within same county","Margin of Error!!Total!!Moved within same county","Estimate!!Total!!Moved within same county!!Less than high school graduate","Margin of Error!!Total!!Moved within same county!!Less than high school graduate","Estimate!!Total!!Moved within same county!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved within same county!!High school graduate (includes equivalency)","Estimate!!Total!!Moved within same county!!Some college or associate's degree","Margin of Error!!Total!!Moved within same county!!Some college or associate's degree","Estimate!!Total!!Moved within same county!!Bachelor's degree","Margin of Error!!Total!!Moved within same county!!Bachelor's degree","Estimate!!Total!!Moved within same county!!Graduate or professional degree","Margin of Error!!Total!!Moved within same county!!Graduate or professional degree","Estimate!!Total!!Moved from different county within same state","Margin of Error!!Total!!Moved from different county within same state","Estimate!!Total!!Moved from different county within same state!!Less than high school graduate","Margin of Error!!Total!!Moved from different county within same state!!Less than high school graduate","Estimate!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different county within same state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different county within same state!!Some college or associate's degree","Estimate!!Total!!Moved from different county within same state!!Bachelor's degree","Margin of Error!!Total!!Moved from different county within same state!!Bachelor's degree","Estimate!!Total!!Moved from different county within same state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different county within same state!!Graduate or professional degree","Estimate!!Total!!Moved from different state","Margin of Error!!Total!!Moved from different state","Estimate!!Total!!Moved from different state!!Less than high school graduate","Margin of Error!!Total!!Moved from different state!!Less than high school graduate","Estimate!!Total!!Moved from different state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different state!!Some college or associate's degree","Estimate!!Total!!Moved from different state!!Bachelor's degree","Margin of Error!!Total!!Moved from different state!!Bachelor's degree","Estimate!!Total!!Moved from different state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different state!!Graduate or professional degree","Estimate!!Total!!Moved from abroad","Margin of Error!!Total!!Moved from abroad","Estimate!!Total!!Moved from abroad!!Less than high school graduate","Margin of Error!!Total!!Moved from abroad!!Less than high school graduate","Estimate!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from abroad!!Some college or associate's degree","Margin of Error!!Total!!Moved from abroad!!Some college or associate's degree","Estimate!!Total!!Moved from abroad!!Bachelor's degree","Margin of Error!!Total!!Moved from abroad!!Bachelor's degree","Estimate!!Total!!Moved from abroad!!Graduate or professional degree","Margin of Error!!Total!!Moved from abroad!!Graduate or professional degree"
"0500000US27013","Blue Earth County, Minnesota","38076","349","1910","533","10872","1155","12539","1022","8641","904","4114","812","34430","808","1685","509","9774","1056","11263","921","7994","905","3714","702","1679","549","36","62","507","251","707","321","296","181","133","127","1208","440","125","131","404","226","371","238","282","185","26","45","745","427","64","106","180","204","198","166","62","87","241","254","14","17","0","139","7","11","0","139","7","13","0","139"
"0500000US27019","Carver County, Minnesota","59992","598","3283","958","12971","1564","17609","1972","18650","1728","7479","1125","53391","1320","2443","727","11656","1350","15647","1712","16786","1667","6859","1072","2543","876","61","94","733","479","854","433","754","502","141","147","3013","1014","651","635","549","393","676","426","734","421","403","344","742","488","75","133","33","56","223","254","335","250","76","104","303","231","53","90","0","139","209","169","41","52","0","139"
"0500000US27037","Dakota County, Minnesota","271925","804","14490","2119","58194","2885","93310","3939","75188","3708","30743","2487","242763","2965","12801","2035","51253","2700","82301","3743","68479","3459","27929","2569","15259","2208","586","342","3699","927","6425","1525","3209","931","1340","540","9273","1757","770","538","2591","946","3210","846","1972","599","730","405","3519","815","241","224","516","293","1216","437","852","380","694","329","1111","586","92","153","135","167","158","135","676","477","50","96"
"0500000US27053","Hennepin County, Minnesota","807164","355","59364","3523","147072","5391","222575","5402","245622","5747","132531","4913","684540","6007","46847","2732","127079","5243","191109","5106","207060","5422","112445","4476","74916","5110","9425","1640","13043","2022","18654","2238","23977","2477","9817","1447","23163","2917","939","446","3778","1093","6980","1583","6869","1507","4597","1334","18157","2568","1523","848","2706","1025","4439","1096","5397","1050","4092","1131","6388","1212","630","349","466","229","1393","587","2319","779","1580","711"
"0500000US27109","Olmsted County, Minnesota","98846","771","5998","1169","20925","1663","32675","1900","24558","1808","14690","1618","85683","1979","5089","1096","17934","1471","28746","2009","21001","1695","12913","1472","7825","1704","577","436","1983","703","2423","723","1996","717","846","464","2276","677","123","144","420","249","561","343","904","471","268","204","2809","1169","121","166","582","353","945","622","630","449","531","366","253","208","88","163","6","11","0","139","27","44","132","131"
"0500000US27123","Ramsey County, Minnesota","339301","325","31586","2385","77198","4403","96530","4077","80611","3679","53376","3565","286124","4507","25153","2465","65782","3893","81211","3997","67417","3349","46561","3344","29200","3347","5046","1310","7104","1780","8778","1484","5858","1264","2414","831","14756","2337","488","331","2855","786","4802","1072","5040","1309","1571","669","7072","1560","367","321","1062","497","1251","547","1982","848","2410","1071","2149","715","532","425","395","323","488","270","314","232","420","198"
"0500000US27137","St. Louis County, Minnesota","135979","520","8170","989","40987","2178","50093","2224","24920","1643","11809","1209","120358","1592","7246","918","37220","2057","43106","2074","22209","1574","10577","1168","10104","1367","541","258","2526","710","4956","1004","1498","502","583","434","3705","1105","271","249","1005","577","1325","583","757","405","347","222","1641","486","112","153","188","132","706","361","372","249","263","154","171","134","0","139","48","65","0","139","84","97","39","65"
"0500000US27139","Scott County, Minnesota","86914","571","4591","1028","19420","2106","27845","2341","26406","1873","8652","1421","78692","1977","3300","807","17068","1864","25360","2135","24966","1833","7998","1429","1928","836","289","225","577","442","576","450","183","185","303","306","4234","1275","480","380","1396","792","1529","722","706","399","123","128","1962","1047","493","452","379","271","380","338","482","437","228","274","98","141","29","54","0","139","0","139","69","91","0","139"
"0500000US27141","Sherburne County, Minnesota","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US27145","Stearns County, Minnesota","94570","760","8106","1198","28745","1918","33622","1988","15921","1417","8176","1287","83748","2090","6891","1074","25978","1661","29293","1966","14068","1336","7518","1257","6537","1508","687","553","2033","730","2492","777","837","448","488","288","2618","843","158","120","658","362","1441","600","337","274","24","39","974","443","175","195","76","77","293","251","284","250","146","164","693","547","195","213","0","139","103","177","395","400","0","139"
"0500000US27163","Washington County, Minnesota","163400","857","6454","958","34418","2542","53476","2947","45386","2334","23666","1974","146309","2116","5600","1037","30767","2301","47869","2811","40967","2034","21106","1824","6344","1298","363","303","1732","641","1984","697","1342","457","923","441","7437","1698","447","352","1459","680","2643","1003","1995","969","893","437","3084","1117","44","61","460","413","891","592","1023","508","666","440","226","219","0","139","0","139","89","145","59","101","78","130"
"0500000US27171","Wright County, Minnesota","81420","415","4759","1060","25005","2063","30288","2397","17023","2112","4345","1067","73301","2264","4077","895","22528","1886","26776","2478","15846","2024","4074","1012","4387","1447","387","284","1130","674","2221","993","510","421","139","205","2898","1653","295","382","1209","1077","957","592","334","184","103","92","814","542","0","139","127","131","325","325","333","307","29","43","20","23","0","139","11","18","9","15","0","139","0","139"
"0500000US28033","DeSoto County, Mississippi","106647","575","11175","1460","31373","2251","40890","2687","15546","1983","7663","1503","92698","2334","9684","1354","26527","2167","35427","2803","13681","2022","7379","1486","7131","1593","650","450","2249","971","3012","1028","1220","662","0","198","2113","1015","522","386","888","857","565","427","101","138","37","61","4457","1401","149","130","1709","878","1886","768","466","308","247","176","248","297","170","268","0","198","0","198","78","135","0","198"
"0500000US28035","Forrest County, Mississippi","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US28047","Harrison County, Mississippi","126002","778","15457","2229","38146","3137","46122","3544","15578","2205","10699","1465","103810","2706","12602","2022","31019","2675","37732","3264","12790","1859","9667","1415","13134","2696","2050","820","5346","1672","4320","1400","1079","651","339","251","2206","889","373","284","479","339","1059","619","193","211","102","117","6297","1639","266","318","1268","599","2867","1103","1305","577","591","434","555","409","166","292","34","55","144","150","211","247","0","198"
"0500000US28049","Hinds County, Mississippi","154179","675","21759","2491","37705","3392","54310","3907","23347","2242","17058","1930","136635","3219","18924","2371","33380","3184","47961","3902","21099","2151","15271","1877","10970","2552","2122","799","2654","1034","4391","1781","943","509","860","527","4614","1315","632","344","1437","828","1278","636","589","333","678","404","1925","761","81","104","234","192","680","422","681","413","249","239","35","61","0","198","0","198","0","198","35","61","0","198"
"0500000US28059","Jackson County, Mississippi","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US28067","Jones County, Mississippi","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
