id,FIPS,Total households!!Median household income (dollars),Total households!!Median household income (dollars),Total households!!Mean household income (dollars),Total households!!Mean household income (dollars)
0500000US,47059,47383,6574,61071,5326
0500000US,47119,53794,8436,72552,5631
0500000US,47189,76756,4344,90808,5064
0500000US,48021,69067,13636,82572,8336
0500000US,48037,47134,4912,67781,6860
0500000US,48041,50110,2278,71726,2917
0500000US,48141,43958,2037,61669,2298
0500000US,48203,50561,7915,68916,8272
0500000US,48209,65943,6224,87927,5914
0500000US,48355,54560,4560,74721,3892
0500000US,49053,56333,3148,75745,4833
0500000US,51003,78584,9204,113329,10853
0500000US,51041,80655,3052,99873,3512
0500000US,51059,122227,2180,156432,3048
0500000US,51680,42389,4427,59524,4814
0500000US,53005,68115,6558,86589,3908
0500000US,53063,59783,2297,77101,2905
0500000US,53073,62268,3301,77838,3512
0500000US,55097,57452,4538,72478,5441
0500000US,55131,73435,4664,92696,4688
0500000US,01015,45818,5781,61117,5308
0500000US,01055,45868,3875,63046,4535
0500000US,01081,46456,5092,73270,5858
0500000US,02020,83648,5039,106660,4553
0500000US,02090,75448,6638,98389,10154
0500000US,05085,53782,5869,70716,5835
0500000US,06001,102125,1678,134377,2183
0500000US,06033,48554,7587,71170,7571
0500000US,06075,112376,4192,166893,5074
0500000US,06097,81395,2313,108278,3943
0500000US,06113,68670,4947,94082,4842
0500000US,08005,76768,1960,103078,3703
0500000US,08031,68377,2873,99728,3526
0500000US,08123,75938,2078,90525,3412
0500000US,09013,91646,7899,109684,6862
0500000US,10005,60277,3557,79758,3189
0500000US,11001,85203,3414,124946,3134
0500000US,12017,39964,4030,56965,7617
0500000US,12109,80712,4716,110555,5654
0500000US,13031,44179,5008,58705,5930
0500000US,13045,51545,4567,70130,5342
0500000US,13067,78894,3138,105969,3136
0500000US,13115,38462,7386,61873,5710
0500000US,13139,61699,3283,85602,5920
0500000US,13217,57344,6498,74269,10617
0500000US,16083,51196,3376,69765,11284
0500000US,17031,63353,1098,94922,1186
0500000US,17115,50066,2977,68066,4742
0500000US,17143,56138,3576,76932,5050
0500000US,18059,71653,5509,82281,6227
0500000US,18067,55868,4619,69523,5466
0500000US,18085,55253,3797,72722,5166
0500000US,18163,50325,2201,69712,7000
0500000US,18167,48961,2783,64806,4093
0500000US,21037,59524,5064,77962,5905
0500000US,21047,38448,3428,63537,16756
0500000US,22019,49113,3354,69971,3779
0500000US,22033,52947,2809,82021,4719
0500000US,22097,32867,5454,52090,6437
0500000US,22105,48205,3436,60849,5084
0500000US,24013,97430,6092,114065,5233
0500000US,24045,57249,6447,71123,4421
0500000US,25003,60476,5979,77385,4651
0500000US,25011,59248,3708,79786,6254
0500000US,25013,52372,2376,74184,2438
0500000US,25023,90484,2974,115820,4147
0500000US,25027,71853,2035,95428,1895
0500000US,26065,52691,2097,73255,3214
0500000US,26155,54456,5400,70227,4907
0500000US,27139,100963,4693,118896,6048
0500000US,29043,56717,4486,70756,5252
0500000US,29047,68269,3849,86398,3029
0500000US,30049,65241,5668,77682,5010
0500000US,30063,56598,2374,74932,5653
0500000US,30111,60079,4216,75619,5071
0500000US,34019,111269,5996,143132,8050
0500000US,35025,50871,4798,65330,5484
0500000US,36045,53146,2976,64940,3482
0500000US,36063,55306,3093,74744,4828
0500000US,36079,102525,9059,127060,6957
0500000US,36087,89812,4056,118960,5679
0500000US,36105,52274,6570,72044,6467
0500000US,37037,74959,7082,104799,8509
0500000US,37049,50509,5078,65301,5020
0500000US,37085,51022,3118,64140,3538
0500000US,37151,47653,3583,65544,5242
0500000US,37195,42769,5406,59891,5242
0500000US,39007,46349,4931,60364,6085
0500000US,39013,50250,5562,63469,5354
0500000US,39063,60788,5046,77579,6455
0500000US,39141,46769,6245,60114,6447
0500000US,39151,52068,1914,67188,1734
0500000US,39157,49658,4208,66384,4461
0500000US,40031,52089,2973,66258,4421
0500000US,40109,52214,1419,77977,2512
0500000US,40125,48776,2752,60846,4048
0500000US,42005,49950,4831,65319,4162
0500000US,42013,49942,5629,66095,5417
0500000US,42039,51502,2768,64645,5096
0500000US,42051,52984,3412,66354,3369
0500000US,45091,64319,2953,86505,4061
0500000US,47113,45360,3510,67782,6266
0500000US,48027,54495,2274,69088,2944
0500000US,48061,38378,2327,53325,2519
0500000US,48139,77794,3774,99650,13956
0500000US,48201,60232,813,88212,1245
0500000US,48245,47177,3730,69578,3957
0500000US,48291,51955,4132,64146,5516
0500000US,48303,50505,3058,70428,3746
0500000US,48441,47508,2986,66633,3875
0500000US,48471,40100,7234,57559,6437
0500000US,48479,46862,3473,62301,4579
0500000US,49057,68669,3264,78781,3426
0500000US,50007,75852,5634,93088,5984
0500000US,51095,83190,7866,114547,11978
0500000US,51161,68595,6608,83096,5145
0500000US,51165,61199,3699,78151,8193
0500000US,51700,50180,3050,65415,3956
0500000US,51710,49587,2812,72418,6356
0500000US,51740,47919,4155,62215,6865
0500000US,51810,77059,2200,98295,2810
0500000US,53007,57132,5313,77634,6891
0500000US,54003,59328,3479,74311,5501
0500000US,54107,43563,4858,59884,3804
0500000US,55059,65330,4457,84160,6308
0500000US,55073,62890,4032,84462,7953
0500000US,56025,64833,5084,88204,8187
0500000US,01069,48105,3174,66880,3022
0500000US,01095,47528,5990,63466,5556
0500000US,01101,49989,2042,74318,4228
0500000US,04017,40463,4491,53791,4980
0500000US,05031,44810,2712,62797,5244
0500000US,06071,63857,1948,82105,1779
0500000US,06073,79079,1474,106237,1467
0500000US,06077,64119,2493,84697,2542
0500000US,06083,77472,3718,110655,3941
0500000US,06107,48817,2809,71856,4029
0500000US,08077,49848,3326,68620,4493
0500000US,09003,73151,2472,101945,2223
0500000US,09015,65765,3227,80779,5884
0500000US,12005,52107,3292,69929,4482
0500000US,12011,57278,1415,84524,2174
0500000US,12021,69867,3962,112143,6842
0500000US,12033,51050,2367,70570,3338
0500000US,12086,52205,953,79418,1380
0500000US,13015,57380,10657,67477,5172
0500000US,18039,58350,4112,71886,2985
0500000US,18097,47780,1777,67400,2141
0500000US,18109,68338,7279,79105,8104
0500000US,19049,83990,5477,105070,6146
0500000US,20015,64898,6088,75446,4819
0500000US,20045,54668,8815,74530,4789
0500000US,20103,71071,9320,87405,11509
0500000US,20161,44697,3414,65744,6207
0500000US,20177,52104,4053,75252,6216
0500000US,21067,54896,2466,82464,3776
0500000US,22017,39077,3143,59406,3308
0500000US,22063,64067,6299,88406,8712
0500000US,22079,49175,3029,66131,4308
0500000US,23011,51653,4570,68071,4985
0500000US,25015,76966,5397,95842,5107
0500000US,26037,69522,5035,81448,4948
0500000US,26049,48127,2040,66520,2546
0500000US,26087,65561,3698,82183,7746
0500000US,26145,48990,2063,68782,4089
0500000US,26147,56441,2970,74430,3139
0500000US,27171,88359,7928,101340,4930
0500000US,28059,50546,4577,62412,4615
0500000US,29031,49844,5372,62336,5055
0500000US,29095,55929,1493,74371,2002
0500000US,30013,49948,3119,67884,5843
0500000US,32003,57076,1052,80329,1744
0500000US,36001,64435,4607,87509,3416
0500000US,36007,51125,2910,68268,4670
0500000US,36019,56704,5379,70808,5104
0500000US,36027,80227,3395,101825,4443
0500000US,36029,56369,1036,76265,1876
0500000US,36051,61609,5259,73481,5385
0500000US,36061,85066,3480,156633,4044
0500000US,36091,83765,4232,104904,4702
0500000US,36103,100468,1777,126020,2519
0500000US,37001,49979,2410,68592,4903
0500000US,37023,43663,5097,65820,5976
0500000US,37035,53454,4144,66315,4151
0500000US,37045,40690,3708,54716,4189
0500000US,37101,60132,2600,73747,4876
0500000US,37125,58531,3728,80720,6076
0500000US,37135,72563,5535,119216,12115
0500000US,37179,80337,2486,109937,6240
0500000US,38035,52853,3368,70928,5253
0500000US,39009,36944,5460,52960,4647
0500000US,39017,60589,2147,81404,3042
0500000US,39023,49875,2161,62017,2938
0500000US,39099,47962,2964,67418,3887
0500000US,39109,58486,4610,75288,5254
0500000US,39145,37257,7566,53019,3994
0500000US,40027,62096,2547,79417,4026
0500000US,40101,45290,4702,62402,5120
0500000US,41005,81278,2579,109685,4888
0500000US,41017,67577,3751,92270,5215
0500000US,41035,45354,6187,56559,4628
0500000US,42033,46205,4126,61193,4623
0500000US,42101,46116,1224,69025,1755
0500000US,45019,63459,3872,96716,5062
0500000US,45047,42245,4583,60070,8259
0500000US,45051,49047,2005,65575,3218
0500000US,45057,57224,7340,85008,14039
0500000US,45077,47148,4258,67183,5935
0500000US,47009,58809,4446,74417,4176
0500000US,47093,55632,2280,77584,2749
0500000US,47141,45199,4066,61425,4988
0500000US,47163,44652,4723,65798,4669
0500000US,48121,88117,2773,113705,2826
0500000US,48257,66668,6153,85351,6581
0500000US,48375,40797,3760,57771,4979
0500000US,48381,70108,4333,87215,4215
0500000US,48453,76392,2247,110876,3039
0500000US,49011,84358,3128,99560,3851
0500000US,51013,122394,4383,154670,6048
0500000US,51061,92145,9810,119006,9612
0500000US,53027,48255,6637,61780,6366
0500000US,55071,54393,4245,66728,3230
0500000US,55139,56589,2940,75157,5528
0500000US,72031,25189,2573,35498,3125
0500000US,72127,23012,1483,40071,2381
0500000US,72139,31078,1924,42862,3835
0500000US,72013,18360,1921,25071,1823
0500000US,72097,11940,1158,22576,2880
0500000US,01051,60796,4766,70961,5038
0500000US,01097,43061,2459,60779,2597
0500000US,01115,56602,6054,69677,6478
0500000US,04003,50495,3862,64549,5057
0500000US,04005,61843,3885,78885,4618
0500000US,05045,51437,6401,71385,7198
0500000US,05131,46826,2495,65730,5288
0500000US,06013,101618,1585,137621,3595
0500000US,06019,52629,2017,72519,1762
0500000US,06023,50294,3616,64549,4604
0500000US,06039,56305,7392,71817,5456
0500000US,06055,87025,4296,112978,6227
0500000US,08013,83755,3581,113968,5099
0500000US,08041,68119,2360,87839,2826
0500000US,08059,85890,2850,106269,3029
0500000US,12019,61825,3284,78340,5491
0500000US,12031,55832,1959,79177,2884
0500000US,12055,39796,4437,62081,7864
0500000US,12073,50682,1986,75817,3920
0500000US,12103,52198,1318,75715,2046
0500000US,12131,62914,9717,87915,10878
0500000US,13051,55308,4956,81566,4944
0500000US,13063,46646,3495,58543,3164
0500000US,13113,93468,9306,126801,9779
0500000US,13223,73084,3610,85260,5000
0500000US,13255,42920,3181,56804,5199
0500000US,15009,82885,5477,105494,7299
0500000US,17043,93750,3311,124223,2785
0500000US,17089,79818,3099,105206,3470
0500000US,17093,89862,6276,100267,6476
0500000US,18003,54260,1554,74785,3223
0500000US,18089,55154,2149,71527,2143
0500000US,21059,50934,2857,66797,5160
0500000US,21185,102033,6451,127427,9006
0500000US,22005,79495,6924,95520,8043
0500000US,23005,72452,3523,94360,3809
0500000US,25009,76604,2536,109821,3002
0500000US,26017,50606,2471,66454,4323
0500000US,26159,59295,4093,72589,5006
0500000US,26161,71860,3365,101689,3778
0500000US,26163,46390,861,66287,1336
0500000US,28089,75992,3574,111693,11512
0500000US,29021,55020,5055,65793,4388
0500000US,29077,43771,2361,62445,3874
0500000US,29165,80468,8809,104088,9525
0500000US,32031,63310,3111,87024,3329
0500000US,33013,75088,3870,92823,4720
0500000US,33015,95160,6458,114193,4765
0500000US,34015,81849,5053,101668,3954
0500000US,34029,68551,1934,94143,3136
0500000US,34039,82186,4251,118906,4477
0500000US,35031,34080,3477,48580,4225
0500000US,36009,48179,3100,60778,3205
0500000US,36011,52376,4473,72026,5329
0500000US,36047,61220,1083,92542,1594
0500000US,36053,59678,3687,74332,4803
0500000US,36055,60222,1616,78573,2036
0500000US,36109,57276,5532,80857,6655
0500000US,37027,42257,3342,58787,5771
0500000US,37063,58073,4023,82885,3131
0500000US,37089,53706,3606,72361,4822
0500000US,37159,46035,2912,64677,5579
0500000US,37191,40791,1978,63210,8560
0500000US,39029,43745,3359,59305,3613
0500000US,39045,67144,4196,83773,4799
0500000US,39057,67680,4864,90572,5315
0500000US,39139,49564,3950,61538,4483
0500000US,41003,63773,6403,83121,6504
0500000US,41033,48315,4590,62844,5432
0500000US,41059,56842,8158,67540,5781
0500000US,41067,83068,2967,104704,2857
0500000US,42007,54660,4327,68766,3903
0500000US,42025,53227,6209,64567,4301
0500000US,42037,50601,2735,64635,5353
0500000US,42045,72045,2186,103702,3073
0500000US,42069,53302,2473,67631,2840
0500000US,42073,47853,4659,61859,3608
0500000US,45003,51932,3306,70625,4831
0500000US,45031,33521,3888,51122,4453
0500000US,45041,48790,3759,71363,6765
0500000US,45079,52159,2724,72184,3618
0500000US,47157,47500,2160,70862,2348
0500000US,48005,47519,5773,58743,3896
0500000US,48157,91931,2956,121466,4498
0500000US,48181,51158,1866,68561,4426
0500000US,48213,42020,3855,64819,6449
0500000US,48451,52283,5118,70803,6182
0500000US,49035,73801,1955,98198,2242
0500000US,51019,64084,7730,80139,7897
0500000US,51177,88431,7266,110404,7844
0500000US,53021,60012,8498,80209,9665
0500000US,53025,53057,8791,66875,4562
0500000US,53057,73206,4545,89272,6779
0500000US,53067,72703,3003,88214,3022
0500000US,54039,41141,1809,65563,4376
0500000US,55025,71582,1545,96038,2514
0500000US,55109,81453,4173,92426,3892
0500000US,01003,56813,3367,80251,5801
0500000US,01077,49014,5747,69253,7071
0500000US,01083,67000,5606,76168,5723
0500000US,05051,42779,5468,63690,7858
0500000US,05125,63084,5834,76913,5132
0500000US,08069,71091,2818,92688,3441
0500000US,12001,51241,1859,74463,4385
0500000US,12015,52927,2153,69586,4217
0500000US,12057,58480,1738,83192,1726
0500000US,12069,52096,2877,69914,3708
0500000US,12083,44576,2607,61351,3400
0500000US,12091,63997,3761,82094,4328
0500000US,12097,50546,3703,67109,4310
0500000US,12117,67470,2717,90253,3396
0500000US,12127,50361,1262,69008,2752
0500000US,13059,42232,2154,60185,3473
0500000US,13073,82024,5183,103682,7010
0500000US,13095,39659,2972,53258,5081
0500000US,13151,73541,4842,89068,4530
0500000US,13153,58965,9295,82242,8695
0500000US,13313,45028,3468,60172,4781
0500000US,16019,58729,5261,80113,6259
0500000US,17119,59987,2925,75747,2552
0500000US,17183,43655,2992,58099,5121
0500000US,17197,85818,3313,106216,2515
0500000US,18043,66391,8953,85837,7131
0500000US,18105,47369,3825,63352,3748
0500000US,18141,54434,4100,72422,3140
0500000US,19163,58175,3831,82135,4613
0500000US,19169,54586,4578,69065,4524
0500000US,21093,50981,3713,72497,7338
0500000US,22071,38423,2033,65720,2076
0500000US,22109,52820,6402,71651,8136
0500000US,23003,38233,2514,53200,3790
0500000US,23019,47217,3800,64741,4449
0500000US,24005,76182,2205,100183,2491
0500000US,24015,74452,5986,87103,5577
0500000US,24037,92250,9250,106262,5562
0500000US,24043,63126,2666,79183,4160
0500000US,25001,68902,4776,94443,4759
0500000US,25021,100356,2713,141688,4755
0500000US,26111,56091,3181,81508,7705
0500000US,26115,61916,2399,77934,3904
0500000US,26125,80193,1594,107683,2143
0500000US,27145,60669,2225,78545,3779
0500000US,27163,95124,4445,121670,5348
0500000US,34001,61212,1916,84780,4314
0500000US,34023,88217,3450,110681,3401
0500000US,34027,112288,3704,158144,5322
0500000US,34033,65733,5736,81113,6414
0500000US,34035,121378,6478,154334,6129
0500000US,34037,92818,4908,116821,7108
0500000US,35005,43941,5849,57336,4707
