FIPS,Household Median Income,Margin of Error
29149,32534,3569
29151,58476,3484
29153,32601,1926
29155,33390,2649
29157,54964,2770
29159,44382,2231
29161,42846,2355
29163,45753,3044
29165,76912,2320
29167,44892,2666
29169,51665,4064
29171,37367,6347
29173,55546,5333
29175,46610,3310
29177,59857,5069
29179,40929,6136
29181,33343,4516
29183,81411,1457
29185,38470,2312
29186,56234,5750
29187,45774,2067
29189,65300,787
29195,43201,2304
29197,39697,2475
29199,42965,5011
29201,42231,2077
29203,32180,2916
29205,44051,3425
29207,40567,1966
29209,46443,2625
29211,42604,5532
29213,41487,1481
29215,35277,3115
29217,43379,2303
29219,57948,4507
29221,39621,2188
29223,34391,2705
29225,47421,2595
29227,52500,5108
29229,32752,2669
29510,41107,807
30001,44809,5543
30003,46365,4462
30005,38083,3813
30007,56469,4343
30009,57538,4662
30011,44196,9960
30013,48160,1419
30015,40942,2501
30017,55841,5272
30019,54750,2497
30021,59820,3990
30023,41783,2642
30025,60750,12795
30027,50327,3721
30029,52966,2038
30031,61499,1915
30033,45893,9365
30035,31029,2522
30037,39952,9452
30039,48958,8721
30041,47141,3162
30043,66867,4719
30045,45764,6410
30047,45488,2368
30049,62130,1850
30051,47419,7345
30053,38287,2737
30055,47500,4323
30057,50247,4421
30059,43109,5315
30061,41905,4793
30063,51270,1971
30065,41612,4567
30067,49194,6143
30069,44688,17143
30071,46222,5649
30073,45458,4410
30075,52457,7120
30077,49652,6510
30079,47250,6386
30081,48930,4054
30083,67272,4177
30085,42904,3499
30087,56549,4631
30089,36984,3195
30091,54321,5151
30093,42237,2458
30095,63785,4012
30097,49514,5331
30099,51862,4299
30101,46823,8928
30103,42292,5528
30105,55882,6181
30107,41186,3688
30109,50202,7744
30111,59117,1893
31001,51536,2722
31003,48716,2850
31005,43854,2911
31007,59625,7001
31009,50870,3026
31011,54063,2177
31013,56412,6678
31015,50729,6317
31017,41550,4967
31019,56952,3272
31021,51482,3226
31023,55562,5206
31025,71139,2310
31027,58978,3072
31029,55833,4003
31031,53684,7110
31033,56538,3636
31035,56316,3683
31037,56528,6487
31039,55190,5233
31041,49891,3617
31043,55017,2454
31045,51748,5263
31047,53769,3035
31049,48500,6886
31051,56775,4308
31053,53101,1756
31055,61688,773
31057,44350,6028
31059,55625,5034
31061,49235,2942
31063,51855,3574
31065,47989,2055
31067,51662,3264
31069,44471,8656
31071,48545,3225
31073,62545,3065
31075,39479,11997
31077,47128,2806
31079,54742,1656
31081,64042,3775
31083,50344,4093
31085,45515,6828
31087,42902,4193
31089,57468,4199
31091,39115,5706
31093,54399,3931
31095,43295,3680
31097,52794,5338
31099,56952,5395
31101,48901,2605
31103,49688,8103
31105,43856,4478
31107,49752,2073
31109,58009,1076
31111,56794,3095
31113,51607,16254
31115,53125,11932
31117,48882,7216
31119,52857,2181
31121,54197,3897
31123,45121,2922
31125,45833,5080
31127,51922,5743
31129,42049,3542
31131,54828,4232
31133,46314,7123
31135,62469,3557
31137,57241,4344
31139,56620,3576
31141,62617,3413
31143,61962,3107
31145,46859,4731
31147,48096,2998
31149,52604,8336
31151,51143,3212
31153,79549,1419
31155,66718,3394
31157,50157,2056
31159,67591,3082
31161,41719,3067
31163,51172,3803
31165,46875,6794
31167,62687,4761
31169,50734,3321
31171,50682,7527
31173,48149,2837
31175,55170,5388
31177,70753,3504
31179,62623,8752
31181,42298,4958
31183,52083,5162
31185,59779,3810
32001,51514,4276
32003,56802,452
32005,62503,1960
32007,77209,3819
32009,40000,7903
32011,77625,23084
32013,70373,7457
32015,93583,12326
32017,56414,5769
32019,55493,3149
32021,41163,9057
32023,45711,3237
32027,50846,4691
32029,62284,5795
32031,61155,908
32033,62993,4159
32510,52034,2130
33001,68368,3130
33003,61116,2483
33005,63057,2005
33007,45696,1727
33009,63153,2580
33011,78655,1474
33013,72478,1697
33015,90429,1616
33017,70650,2218
33019,60780,3145
34001,59989,1631
34003,95837,998
34005,84992,1319
34007,67118,1282
34009,63690,1641
34011,52593,1718
34013,59302,1069
34015,85160,1401
34017,66289,1155
34019,112535,2409
34021,79990,1403
34023,85954,1082
34025,95699,1134
34027,111316,1509
34029,68021,975
34031,66476,1349
34033,64309,2830
34035,111772,1996
34037,90520,2106
34039,77095,1577
34041,78145,1882
35001,51643,692
35003,42480,6192
35005,43197,1797
35006,37368,3303
35007,33783,4196
35009,46182,2612
35011,31028,6138
35013,39164,1431
35015,62982,3186
35017,37880,4254
35019,24085,4362
35021,30875,4943
35023,36339,12114
35025,59797,2304
35027,42267,6929
35028,115248,7220
35029,27377,1797
35031,31674,1548
35033,26968,5927
35035,42752,2422
35037,27075,1630
35039,(X),(X)
35041,40775,5000
35043,59420,1750
35045,50582,1564
35047,31660,1787
35049,59192,1499
35051,30451,2520
35053,36146,4461
35055,36758,2641
35057,37218,4750
35059,37936,4381
35061,45084,2429
36001,64535,1279
36003,47033,1420
36005,38085,525
36007,50859,1227
36009,47240,1386
36011,56579,1673
36013,45332,1182
36015,53299,1328
36017,50595,1427
36019,55178,2165
36021,63032,2254
36023,54489,1872
36025,48827,1720
36027,78028,1324
36029,55673,604
36031,56196,2091
36033,51696,2339
36035,50248,1597
36037,59338,2493
36039,53617,2813
36041,57552,2633
36043,51862,2041
36045,52268,1528
36047,56015,536
36049,52380,1891
36051,56071,1875
36053,60228,1612
36055,57479,734
36057,45837,2770
36059,111240,1180
36061,82459,951
36063,54085,1268
36065,53844,871
36067,59225,834
36069,63359,1753
36071,76716,1429
36073,51843,2175
36075,53597,1386
36077,53121,1287
36079,102186,2501
36081,64987,663
36083,65851,1775
36085,79267,1450
36087,91108,2046
36089,49305,1513
36091,80839,1798
36093,63785,1727
36095,53989,2361
36097,51479,3128
36099,54695,2055
36101,51789,1417
36103,96675,887
36105,56256,2896
36107,60736,1624
36109,58743,1600
36111,63348,1313
36113,59813,2104
36115,54114,2455
36117,55765,1620
36119,92758,1422
36121,57914,1921
36123,54343,3383
37001,45735,1314
37003,44961,2585
37005,37558,3137
37007,39126,3577
37009,40978,2399
37011,38134,3206
37013,43688,3421
37015,33143,2320
37017,32378,2131
37019,54406,1519
37021,50668,931
37023,42516,2114
37025,64174,1421
37027,42072,1519
37029,63349,7120
37031,54428,1755
37033,43961,2480
37035,51157,1315
37037,63531,2312
37039,40294,2205
37041,42621,4428
37043,38801,3790
37045,40393,1428
37047,36398,1624
37049,50870,1421
37051,45716,849
37053,66284,5849
37055,58012,2668
37057,47271,1366
37059,57611,2774
37061,38850,1991
37063,58190,1715
37065,35516,2473
37067,50128,1062
37069,53175,2666
37071,49384,1207
37073,52205,3839
37075,36525,4626
37077,55628,2587
37079,38306,2926
37081,51072,751
37083,34251,1435
37085,51630,1150
37087,49800,2357
37089,52815,1580
37091,37005,3646
37093,47535,2214
37095,45466,10722
37097,58198,1577
37099,44028,2589
37101,56842,1774
37103,36892,7327
37105,48873,2218
37107,38387,2001
37109,53318,1752
37111,40913,1929
37113,43597,1595
37115,42410,2842
37117,39205,3161
37119,64312,601
37121,44186,2448
37123,42346,3473
37125,57899,2155
37127,48362,1981
37129,52716,1333
37131,35499,1596
37133,49491,1299
37135,68211,3011
37137,44947,3393
37139,48279,1414
37141,52989,2271
37143,45915,2565
37145,48811,2286
37147,44315,1147
37149,48834,3403
37151,45006,1400
37153,36091,2225
37155,33679,951
37157,42490,1658
37159,48667,1598
37161,40347,2043
37163,39068,1998
37165,35617,2203
37167,49590,1817
37169,46169,2190
37171,41068,1401
37173,36773,2227
37175,46629,3483
37177,35472,9108
37179,75397,1287
37181,37282,2841
37183,76956,845
37185,35962,2370
37187,35512,3540
37189,45268,2359
37191,42192,1443
37193,40829,2647
37195,42850,1379
37197,42876,2069
37199,39888,3177
38001,54875,5713
38003,57064,5355
38005,44313,1973
38007,92604,36319
38009,59882,4430
38011,65063,4431
38013,74931,4976
38015,69719,2310
38017,62031,2342
38019,67591,5102
38021,60918,5496
38023,60074,11328
38025,70500,12067
38027,51563,9324
38029,51029,4763
38031,60613,5052
38033,56087,7093
38035,51951,1837
38037,50962,5972
38039,52794,4901
38041,56761,5735
38043,57734,7633
38045,59426,6556
38047,58144,5397
38049,62637,4321
38051,50739,5013
38053,80732,5175
38055,65648,3173
38057,79890,6265
38059,67584,4161
38061,70678,3909
38063,48798,7261
38065,68333,15106
38067,64962,3462
38069,48802,10837
38071,57313,4762
38073,61810,3963
38075,68182,4577
38077,61990,3937
38079,39884,2915
38081,67200,6337
38083,49261,5345
38085,40862,3441
38087,63942,6702
38089,75708,4591
38091,65848,4743
38093,57642,2929
38095,53696,5581
38097,62870,2736
38099,54414,2192
38101,67753,2240
38103,57989,4204
38105,86575,8091
39001,36894,3386
39003,50552,1657
39005,52730,2111
39007,44823,1563
39009,37778,3027
39011,61758,1899
39013,49361,2020
39015,52356,2501
39017,63358,875
39019,52394,3269
39021,57103,2180
39023,48502,1315
39025,64822,1437
39027,51354,2321
39029,46306,1282
39031,44491,1998
39033,42892,1604
39035,48435,473
39037,52691,1888
39039,57665,1949
39041,104322,2210
39043,52270,2065
39045,66175,1686
39047,46478,2496
39049,58762,635
39051,60231,1714
39053,42113,2765
39055,79956,2923
39057,67109,1554
39059,43975,2042
39061,54976,676
39063,55644,1981
39065,48773,1658
39067,48462,2748
39069,59083,2965
39071,43297,2828
39073,50000,2367
39075,62111,2631
39077,51559,1719
39079,45340,2441
39081,44819,1519
39083,55131,1985
39085,63475,887
39087,44372,2367
39089,62715,2014
39091,55150,1796
39093,56965,1012
39095,46924,913
39097,65264,1891
39099,44682,915
39101,45464,2223
39103,74243,1675
39105,43591,3395
39107,59417,2186
39109,57544,1874
39111,43956,2265
39113,49314,676
39115,41731,3455
39117,56010,3135
39119,45276,1771
39121,47456,7439
39123,57918,2484
39125,51933,2614
39127,48811,2401
39129,62214,2959
39131,43729,3022
39133,56618,1432
39135,55374,1904
39137,62001,1942
39139,47346,1723
39141,48403,1554
39143,51701,1582
39145,39731,1594
39147,49936,2160
39149,61042,2368
39151,52190,705
39153,55448,840
39155,45975,1002
39157,51170,1952
39159,82775,2951
39161,52754,1607
39163,42114,3941
39165,83330,1930
39167,48572,2183
39169,56348,1184
39171,49491,1657
39173,59789,1513
39175,52940,3242
40001,32986,2093
40003,59569,3294
40005,38821,2108
40007,51996,2752
40009,48725,5363
40011,50391,6924
40013,43245,2238
40015,44588,2074
40017,71157,1481
40019,49216,1550
40021,40936,1729
40023,32129,1972
40025,46071,7925
40027,62863,1106
40029,40000,3892
40031,52227,1511
40033,51623,4220
40035,41701,2010
40037,49578,1759
40039,48884,2251
40041,39742,1445
40043,50037,5573
40045,52705,3259
40047,51332,2166
40049,45066,1758
40051,58177,2037
40053,56287,5602
40055,38322,2501
40057,41607,5454
40059,50114,8214
40061,39375,2766
40063,39265,1928
40065,45757,2590
40067,37319,1687
40069,40077,4060
40071,45426,1758
40073,60656,8548
40075,38209,4061
40077,42363,2856
40079,39769,1250
40081,49362,1963
40083,62035,4210
40085,52007,5419
40087,64492,2463
40089,35829,1373
40091,37086,1988
40093,54118,2605
40095,45828,2396
40097,48853,2237
40099,51490,2683
40101,42689,1814
40103,53253,4133
40105,41895,2287
40107,38527,2414
40109,52855,570
40111,42175,2306
40113,47789,1927
40115,39070,1109
40117,47413,2347
40119,40944,1977
40121,45346,2004
40123,49235,1957
40125,47683,1214
40127,37457,2145
40129,47667,8528
40131,62949,1469
40133,38706,1457
40135,38328,1622
40137,46166,1704
40139,50450,4014
40141,40462,2611
40143,53902,541
40145,61566,1348
40147,52103,2180
40149,52510,3096
40151,56899,6071
40153,58706,3782
41001,43921,2509
41003,58655,1968
41005,76597,1050
41007,52583,2663
41009,59714,3078
41011,43308,1940
41013,44524,3873
41015,46396,3602
41017,63680,2405
41019,45812,1303
41021,42976,4505
41023,45357,5774
41025,41797,4574
41027,62935,4086
41029,50851,984
41031,50339,3686
41033,43046,1996
41035,43522,2272
41037,36627,4928
41039,49958,934
41041,46061,1891
41043,52097,1597
41045,42478,3046
41047,56097,1191
41049,55440,4735
41051,64337,779
41053,58344,2074
41055,48056,5142
41057,47500,4634
41059,51887,1508
41061,48617,3393
41063,44953,5028
41065,50973,2064
41067,78010,1086
41069,33456,5113
41071,59484,2068
42001,64507,1226
42003,58383,611
42005,49032,2051
42007,55828,1201
42009,49146,1524
42011,61522,826
42013,47969,1449
42015,51457,1337
42017,86055,1084
42019,68472,1115
42021,45901,1074
42023,41485,1945
42025,53624,1457
42027,58055,2017
42029,96726,1125
42031,45625,1384
42033,47270,1523
42035,49234,1685
42037,49889,2025
42039,49144,1173
42041,68895,1591
42043,58916,1437
42045,71539,1022
42047,51112,2209
42049,49716,919
42051,44476,1992
42053,38383,2240
42055,59713,1974
42057,51259,2194
42059,54121,2432
42061,48597,1311
42063,46877,1462
42065,46818,1640
42067,52765,2106
42069,50875,1145
42071,63823,643
42073,48860,1724
42075,59114,1681
42077,62178,979
42079,51646,857
42081,52407,1386
42083,46953,1217
42085,48768,1332
42087,47526,1807
42089,63931,1854
42091,88166,1023
42093,57183,4693
42095,67565,1341
42097,47063,1630
42099,62266,1895
42101,43744,595
42103,64247,3440
42105,42821,1568
42107,49190,1207
42109,57638,2133
42111,48224,1132
42113,47346,3301
42115,53059,1747
42117,50667,2287
42119,56026,2766
42121,47982,1401
42123,48409,1276
42125,61567,1297
42127,54851,2154
42129,58866,944
42131,59308,2792
42133,63902,933
44001,75578,3422
44003,70223,1879
44005,77237,3024
44007,55233,904
44009,81301,2985
45001,36685,3187
45003,50036,1549
45005,24560,2977
45007,47906,1224
45009,32229,5161
45011,36566,2839
45013,63110,1983
45015,59995,1499
45017,44534,3898
45019,61028,1426
45021,35836,2201
45023,40080,3797
45025,40033,2434
45027,37525,1954
45029,36276,1090
45031,36254,2153
45033,29362,2228
45035,61698,1894
45037,49200,3629
45039,36294,4271
45041,45479,1634
45043,48071,2850
45045,56789,874
45047,40982,1671
45049,32453,1688
45051,48279,845
45053,41930,3475
45055,49392,2033
45057,55223,2390
45059,41578,1485
45061,31651,2928
45063,59593,1213
45065,42262,4551
45067,33046,3009
45069,34203,2307
45071,42765,2131
45073,46056,1633
45075,36188,1604
45077,47024,1429
45079,53922,1069
45081,44486,2731
45083,50179,972
45085,43792,1589
45087,40120,2635
45089,32351,2519
45091,62431,1371
46003,59293,4284
46005,51700,3767
46007,48348,4448
46009,54450,4077
46011,56370,2989
46013,56455,2862
46015,50839,4036
46017,32500,5554
46019,44387,3125
46021,52500,6952
46023,46389,2413
46025,47798,6065
46027,43189,3636
46029,54774,4288
46031,35441,1898
46033,55472,6020
46035,47772,5129
46037,44145,4386
46039,57930,4770
46041,43954,3189
46043,57419,6781
46045,68551,6408
46047,50837,3442
46049,53889,8490
46051,62532,7724
46053,44479,4642
46055,37420,3893
46057,65050,2220
46059,52438,4638
46061,63036,2751
46063,57365,3335
46065,63564,5358
46067,54868,2971
46069,54891,5018
46071,33438,5907
46073,49519,5792
46075,41103,6051
46077,59375,2977
46079,59232,4788
46081,52245,3466
46083,81422,2655
46085,53263,2802
46087,62234,3262
46089,43804,9021
46091,63594,5195
46093,59218,3940
46095,31222,2799
46097,51394,7871
46099,60028,1314
46101,58167,4699
46102,30347,3591
46103,55024,1432
46105,56850,6594
46107,53600,4422
46109,50495,2886
46111,54899,3440
46115,52729,2451
46117,71763,3457
46119,64028,10399
46121,24257,3226
46123,51027,4819
46125,55380,4759
46127,69563,3829
46129,52123,6613
46135,54694,4108
46137,37143,3252
47001,49376,2492
47003,48945,2166
47005,33125,3782
47007,42889,5054
47009,54140,1749
47011,48140,1978
47013,38170,1972
47015,49523,4040
47017,40810,1959
47019,36589,1614
47021,58641,3170
47023,45667,7517
47025,36077,2596
47027,31487,5013
47029,33614,2524
47031,47998,2188
47033,42047,2596
47035,43893,1465
47037,56507,855
47039,40233,3310
47041,44134,3591
47043,50549,2297
47045,43762,3208
47047,59017,2723
47049,35084,2375
47051,49038,2309
47053,41886,2158
47055,47528,3855
47057,42997,3743
47059,40138,1831
47061,36987,3287
47063,42589,2422
47065,53035,949
47067,28990,2816
47069,38651,3755
47071,39798,1997
47073,40335,1942
47075,38362,2866
47077,42430,2964
47079,40837,1768
47081,41998,2620
47083,43964,3741
47085,41510,2808
47087,36703,3994
47089,47264,2377
47091,34151,3356
47093,54437,813
47095,34966,6297
47097,37915,2098
47099,41553,1586
47101,37139,3079
47103,45736,3682
47105,56078,3662
47107,41398,2661
47109,36055,3524
47111,36246,2762
47113,46223,1729
47115,48024,2450
47117,49370,3134
47119,54249,1751
47121,43250,4203
47123,38327,2549
47125,55972,1747
47127,52294,4433
47129,40166,2561
47131,39866,2230
47133,36558,1788
47135,34634,7931
47137,41004,2965
47139,41818,2889
47141,40888,2074
47143,39451,3060
47145,50003,2966
47147,61774,2709
47149,63846,1154
47151,35453,3957
47153,51750,4647
47155,45943,1619
47157,49782,691
47159,46404,2929
47161,42269,4041
47163,43442,1229
47165,64631,1434
47167,60167,2829
47169,52864,10817
47171,39851,2947
47173,41352,2106
47175,37127,6456
47177,37715,2218
47179,46752,1903
47181,38634,5802
47183,38566,1757
47185,40745,1972
47187,109026,2935
47189,71513,2237
48001,43355,2033
48003,74233,4834
48005,47714,1985
48007,44865,4698
48009,64476,4552
48011,66563,8051
48013,55265,3274
48015,65365,4632
48017,46485,5594
48019,53683,4866
48021,62941,3059
48023,40750,7834
48025,42032,4701
48027,54184,815
48029,55456,501
48031,63071,3656
48033,81985,13787
48035,50882,2214
48037,47505,2075
48039,79270,2003
48041,46839,1913
48043,43894,2762
48045,42647,6885
48047,27378,2831
48049,45457,2375
48051,56235,3507
48053,59238,3055
48055,52278,2375
48057,55469,4258
48059,44602,3204
48061,37132,1130
48063,42604,4451
48065,70087,7537
48067,45345,3467
48069,45000,6963
48071,76850,8824
48073,46044,1936
48075,40794,7345
48077,51191,3678
48079,42798,7441
48081,45551,3023
48083,43981,2768
48085,94192,911
48087,42750,9436
48089,49504,4080
48091,75356,1984
48093,47893,4071
48095,43355,9282
48097,57646,4167
48099,51440,1688
48101,34375,7934
48103,70398,9716
48105,51152,4717
48107,37899,3153
48109,33417,11126
48111,51250,10958
48113,56854,391
48115,44657,5731
48117,51841,4192
48119,46138,5456
48121,83376,1008
48123,53779,5425
48125,41618,3947
48127,27832,6110
48129,43224,4015
48131,37382,5459
48133,35325,2490
48135,60676,1959
48137,40313,21276
48139,72213,2151
48141,44597,745
48143,48819,2400
48145,38032,3400
48147,50761,1798
48149,56297,4556
48151,46827,4353
48153,48555,5620
48155,46354,8925
48157,95561,1694
48159,52944,6279
48161,48731,5100
48163,42476,5003
48165,59032,5358
48167,69369,1866
48169,55039,14840
48171,58325,4646
48173,75833,17605
48175,60492,4435
48177,53006,3721
48179,47170,4894
48181,54370,1905
48183,49287,1254
48185,50298,4135
48187,70931,1953
48189,47080,2713
48191,32921,3335
48193,47500,9960
48195,39229,4633
48197,42238,10049
48199,59105,3317
48201,60146,474
48203,51202,2234
48205,59280,9890
48207,46013,4336
48209,65935,1872
48211,63778,8931
48213,45798,1788
48215,38398,891
48217,48823,2959
48219,48116,2342
48221,59049,3646
48223,51877,2465
48225,34297,2898
48227,51528,2638
48229,29318,7647
48231,51928,1501
48233,50651,3341
48235,54706,15653
48237,51700,3382
48239,60276,5630
48241,46088,4446
48243,53194,14890
48245,48463,1193
48247,32049,5659
48249,42005,5407
48251,62066,2041
48253,45694,5639
48255,52252,4347
48257,65390,1830
48259,82390,5079
48261,36125,6795
48263,45926,9347
48265,52473,2685
48267,42500,3770
48269,65125,26021
48271,31468,6246
48273,42021,3663
48275,46146,7394
48277,43562,2785
48279,43396,2336
48281,58194,3109
48283,51792,4314
48285,53021,3540
48287,55000,5256
48289,44818,6788
48291,49850,2666
48293,42680,4009
48295,57372,8099
48297,55766,6296
48299,52178,2922
48301,81875,46475
48303,50473,1234
48305,43524,3428
48307,45329,6696
48309,48199,1254
48311,68750,16747
48313,49428,4164
48315,37283,3024
48317,69722,11169
48319,40708,4263
48321,45500,3150
48323,38035,2789
48325,61059,2853
48327,40606,9606
48329,78888,3668
48331,47081,4092
48333,41827,6224
48335,49670,10901
48337,51774,1743
48339,77416,1496
48341,51527,2468
48343,42961,2609
48345,43750,7082
48347,43598,2009
48349,47920,2701
48351,40950,3016
48353,44346,4193
48355,55048,1208
48357,49928,4789
48359,63315,5160
48361,55700,2395
48363,45979,4275
48365,51569,1915
48367,74625,2568
48369,54184,3885
48371,52282,6993
48373,46182,3512
48375,43157,1520
48377,27061,6108
48379,49872,3879
48381,67397,2025
48383,70478,14527
48385,34813,6986
48387,37955,3903
48389,58384,6808
48391,48112,5652
48393,73854,12671
48395,54201,5421
48397,94767,3323
48399,41732,3559
48401,52329,2398
48403,33257,3025
48405,35509,5831
48407,44658,4204
48409,55229,2202
48411,44698,5395
48413,55677,15264
48415,55889,5767
48417,45187,5233
48419,40764,3638
48421,56576,5943
48423,53511,1452
48425,53162,9634
48427,29294,2918
48429,45336,4604
48431,59286,14886
48433,48000,15538
48435,60543,12711
48437,38418,3110
48439,64874,547
48441,50818,1577
48443,33750,12715
48445,44975,5820
48447,44196,12922
48449,46698,3475
48451,51675,2309
48453,71767,823
48455,40407,3033
48457,43936,3381
48459,50906,4564
48461,52257,5967
48463,41752,3354
48465,45521,2689
48467,51935,1845
48469,55631,2752
48471,41855,2046
48473,57654,5987
48475,64630,7127
48477,56237,5282
48479,42293,1239
48481,49619,2779
48483,49352,6360
48485,46575,1427
48487,48773,6797
48489,29944,5675
48491,83679,1125
48493,72445,4432
48495,59167,9911
48497,61709,2458
48499,48534,3019
48501,68814,3598
48503,47194,5168
48505,31113,4819
48507,30988,5991
49001,54212,6679
49003,59937,2300
49005,56840,1332
49007,50278,2066
49009,81250,35024
49011,79690,1201
49013,63919,2027
49015,52055,3028
49017,52337,8788
49019,48673,5136
49021,46809,3453
49023,62237,2320
49025,48269,8418
49027,60445,4020
49029,89274,3473
49031,39440,4761
49033,49886,13343
49035,71230,683
49037,44680,3843
49039,51720,3649
49041,53020,1941
49043,100453,5764
49045,71020,2997
49047,66736,3909
49049,70408,818
49051,77449,5814
49053,56877,1511
49055,44694,3167
49057,64636,1074
50001,65093,2424
50003,53040,2307
50005,49348,1842
50007,69896,2132
50009,41045,2661
50011,64258,1568
50013,69583,5812
50015,60365,3915
50017,60159,2361
50019,47915,2193
50021,54973,1754
50023,62108,2065
50025,52659,1706
50027,58303,1576
51001,43210,3243
51003,75394,2534
51005,47794,3629
51007,58526,8627
51009,49170,3347
51011,56176,4129
51013,117374,2067
51015,61305,1784
51017,46137,2875
51019,61541,2660
51021,50511,4943
51023,68410,3438
51025,41927,3130
51027,30806,2381
51029,46261,4573
51031,50258,2308
51033,64715,4314
51035,43532,2276
51036,59192,4207
51037,39212,2751
51041,80214,1216
51043,77936,6550
51045,55484,13649
51047,73116,2713
51049,46221,4519
51051,29226,2792
51053,55880,4297
51057,52681,2936
51059,121133,1144
51061,97469,3787
51063,49729,4731
51065,74931,4899
51067,52639,3185
51069,73250,2263
51071,52478,3169
51073,66701,3711
51075,89741,7343
51077,33969,2345
51079,64979,4475
51081,44534,7545
51083,42289,2347
51085,88652,2596
51087,68572,1482
51089,36683,1839
51091,46147,3558
51093,71376,3787
51095,83048,2991
51097,54516,7231
51099,87321,8183
51101,68720,4657
51103,50739,7705
51105,32718,3065
51107,136268,2063
51109,59343,4020
51111,41868,4197
51113,54197,4437
51115,67009,9029
51117,42025,2464
51119,51917,6744
51121,54641,1795
51125,62446,7444
51127,79698,4414
51131,43553,4273
51133,58677,5014
51135,42869,4498
51137,68481,3991
51139,47951,3979
51141,40486,4326
51143,45382,2056
51145,83914,4985
51147,46189,4053
51149,67001,3178
51153,103445,1915
51155,52638,1998
51157,68438,7363
51159,49831,4953
51161,65467,2229
51163,54805,4086
51165,59817,1844
51167,39482,2596
51169,39144,2488
51171,54921,3008
51173,40425,1626
51175,54611,6821
51177,85330,1869
51179,106773,3208
51181,54844,4834
51183,45801,3896
51185,40978,1974
51187,68189,4293
51191,46262,1583
51193,54268,3000
51195,38345,3388
51197,48043,2922
51199,90367,3142
51510,96733,1933
51520,37904,2685
51530,34273,9808
51540,58933,3493
51550,75790,1575
51570,53716,5085
51580,39432,3798
51590,36301,2104
51595,30857,2784
51600,111574,7598
51610,124796,15295
51620,40375,6482
51630,63274,7136
51640,31938,3916
51650,54550,1491
51660,43893,2962
51670,40497,3873
51678,36466,7238
51680,43374,1665
51683,78462,3991
51685,80667,7690
51690,33224,3916
51700,51884,1249
51710,49146,990
51720,28071,6418
51730,36135,1580
51735,96831,4475
51740,50224,1622
51750,36743,6295
51760,45117,1265
51770,43028,1367
51775,57185,3326
51790,48049,2289
51800,70664,2173
51810,74186,953
51820,45738,4299
51830,56163,6110
51840,53797,4115
53001,49142,5961
53003,50423,2558
53005,65650,2031
53007,56135,2615
53009,49913,1998
53011,71636,837
53013,51111,5853
53015,51752,1326
53017,60452,4163
53019,41924,2617
53021,62002,2233
53023,52525,7999
53025,54982,1906
53027,47770,2089
53029,64809,1871
53031,54471,3254
53033,89418,784
53035,71610,1435
53037,55193,2987
53039,54056,3710
53041,50216,2241
53043,50744,3332
53045,55726,1752
53047,45808,1529
53049,44846,2441
53051,48583,2974
53053,67868,839
53055,60711,2517
53057,62865,1581
53059,58598,4141
53061,82751,856
53063,54852,814
53065,49200,2238
53067,69592,1269
53069,54085,4025
53071,56533,3168
53073,59285,1481
53075,42163,2124
53077,49871,1159
54001,39580,4632
54003,60615,1882
54005,38642,3787
54007,42213,5363
54009,49772,3595
54011,38321,1341
54013,37610,4796
54015,35875,4142
54017,46449,9023
54019,40379,2019
54021,35810,5509
54023,41071,4183
54025,39038,2982
54027,40099,3403
54029,45580,2306
54031,47186,5626
54033,50433,2080
54035,44783,4810
54037,76503,3712
54039,45426,1901
54041,39423,2644
54043,37679,4815
54045,38123,3369
54047,26547,1915
54049,48605,1960
54051,43918,3875
54053,40347,4476
54055,39372,2773
54057,46354,2927
54059,31305,1875
54061,49926,1659
54063,36493,3240
54065,50661,3044
54067,38468,2229
54069,48418,2166
54071,41210,2678
54073,48563,8704
54075,39702,3485
54077,48317,2110
54079,59626,4177
54081,42296,2195
54083,41094,2882
54085,44472,4018
54087,34300,3031
54089,36049,2066
54091,47205,2734
54093,45655,3125
54095,41108,4184
54097,40401,2606
54099,36875,3738
54101,34312,5089
54103,42125,2794
54105,40189,3985
54107,45958,1776
54109,40045,3596
55001,43280,1717
55003,43861,2544
55005,50903,1817
55007,52910,1503
55009,59963,1393
55011,57134,1499
55013,49982,1413
55015,72530,2598
55017,57288,1687
55019,51872,927
55021,65348,1584
55023,48853,1777
55025,70541,997
55027,58870,1805
55029,58287,1960
55031,52480,2058
55033,56268,2577
55035,55711,1487
55037,49128,4882
55039,59373,1270
55041,44313,1984
55043,52958,1330
55045,62699,2311
55047,53260,1695
55049,62785,3091
55051,40801,2325
55053,52984,2972
55055,63676,2189
55057,51056,1694
55059,60929,1528
55061,63118,2388
55063,55479,1432
55065,59629,1865
55067,46557,3185
55069,56086,2436
55071,53489,1451
55073,59543,1425
55075,47497,1760
55077,49586,1527
55078,43872,4909
55079,48742,547
55081,58178,1851
55083,57105,1759
55085,54198,1462
55087,63536,1155
55089,82807,2024
55091,53140,2174
55093,72111,2529
55095,56932,1301
55097,57368,1929
55099,46742,2171
55101,59749,1011
55103,51335,2233
55105,55832,1073
55107,44302,2366
55109,81124,2040
55111,56732,1108
55113,44555,1639
55115,54143,1727
55117,58943,1596
55119,51698,1484
55121,55865,1861
55123,50905,1864
55125,44285,1762
55127,61106,1402
55129,48422,1438
55131,74062,1669
55133,84331,918
55135,57680,2010
55137,51195,1316
55139,57124,1152
