FIPS,Household Median Income,Margin of Error
12075,37634,1760
12077,37363,4408
12079,35509,2374
12081,56036,1101
12083,43361,929
12085,57959,1925
12086,48982,492
12087,67023,2323
12089,66297,2668
12091,62048,1837
12093,40367,2024
12095,54335,575
12097,50063,1465
12099,59943,632
12101,50417,868
12103,51454,539
12105,48500,709
12107,35649,1475
12109,77323,2318
12111,49373,1326
12113,66242,2140
12115,58644,1090
12117,63760,1153
12119,55228,2011
12121,42686,4513
12123,36934,5018
12125,41770,2853
12127,46760,849
12129,62778,2792
12131,53785,2765
12133,37188,3125
13001,39561,4417
13003,34877,2829
13005,36964,5201
13007,37188,11467
13009,39426,2595
13011,45373,3513
13013,57348,2073
13015,55452,2276
13017,32705,2957
13019,37163,3951
13021,39931,1562
13023,45029,5887
13025,37031,4019
13027,34322,5782
13029,71322,6076
13031,41789,1849
13033,42773,2338
13035,41845,2514
13037,31725,4042
13039,56397,2166
13043,32937,5058
13045,49608,2264
13047,55125,1936
13049,40283,4312
13051,54911,1174
13053,46453,5902
13055,36107,1896
13057,79670,1911
13059,36889,1693
13061,25000,4298
13063,45778,1197
13065,25236,7550
13067,75153,936
13069,38266,2489
13071,35472,1945
13073,76938,2271
13075,38408,4274
13077,70717,2225
13079,43257,3965
13081,35096,3062
13083,44471,4469
13085,65805,5350
13087,39148,2377
13089,59280,920
13091,35757,3008
13093,35629,4672
13095,37633,1632
13097,62147,1953
13099,31567,4977
13101,34447,4234
13103,65153,3058
13105,37943,2933
13107,34946,2845
13109,39701,4130
13111,45647,4013
13113,87272,3332
13115,46367,1732
13117,101743,2005
13119,40198,3422
13121,64787,809
13123,49389,4701
13125,41686,3953
13127,50672,2016
13129,44313,2530
13131,42348,4301
13133,49755,3969
13135,67769,1111
13137,49140,2426
13139,59898,1521
13141,31984,3016
13143,46353,3132
13145,74261,5550
13147,41358,3440
13149,48094,3718
13151,68609,1427
13153,58770,2272
13155,32339,7020
13157,62495,1852
13159,43284,5147
13161,36531,4084
13163,34300,3596
13165,27311,4316
13167,39813,3957
13169,53155,4716
13171,41464,5554
13173,39104,7866
13175,37369,1671
13177,65420,5625
13179,45959,1865
13181,41014,6098
13183,55439,3560
13185,41390,1499
13187,47488,3535
13189,39199,6752
13191,47114,3815
13193,31999,2884
13195,51701,3311
13197,44309,7123
13199,36351,3039
13201,42927,5168
13205,37027,4098
13207,54050,2837
13209,40728,3459
13211,62530,3826
13213,45238,3943
13215,45389,1085
13217,53309,2381
13219,88308,3682
13221,44927,2995
13223,66467,3103
13225,42802,3785
13227,64512,4909
13229,44167,4671
13231,58765,4618
13233,43491,2813
13235,38770,3756
13237,51245,4303
13239,30000,10407
13241,40902,2708
13243,30914,3707
13245,40644,1033
13247,57049,1761
13249,41276,3478
13251,37588,2973
13253,34338,2976
13255,42671,2135
13257,43416,4330
13259,25385,6906
13261,36205,2240
13263,36213,3428
13265,31797,4707
13267,38034,2534
13269,33442,4449
13271,30288,3006
13273,38015,4507
13275,40112,2153
13277,42790,2827
13279,36575,3788
13281,43927,4762
13283,37606,8270
13285,43850,2033
13287,38341,6293
13289,33037,3723
13291,44978,5593
13293,36529,3721
13295,43650,2246
13297,58370,2355
13299,39887,4167
13301,34730,3222
13303,38092,3776
13305,44869,3467
13307,35755,4641
13309,27626,4900
13311,46288,3932
13313,46970,2899
13315,36077,5131
13317,35106,4153
13319,37583,3787
13321,46076,4067
15001,59297,1896
15003,82906,756
15005,61875,14875
15007,78482,3257
15009,77117,2267
16001,63137,840
16003,45319,4203
16005,49739,1696
16007,54265,4379
16009,46507,4248
16011,51288,1923
16013,51968,5858
16015,53942,8200
16017,48710,2285
16019,56609,1503
16021,43507,6142
16023,42250,10084
16025,38393,9114
16027,49143,1598
16029,59611,5580
16031,50918,1991
16033,35341,14453
16035,42348,3200
16037,39957,7851
16039,46715,2094
16041,56613,3135
16043,53311,4172
16045,43001,2484
16047,48638,6438
16049,39113,3527
16051,60162,2732
16053,49306,2678
16055,54457,1455
16057,45466,2349
16059,37921,4471
16061,41326,1580
16063,48222,2457
16065,36031,3011
16067,50663,3790
16069,54174,3282
16071,51058,12790
16073,40430,3790
16075,50289,3560
16077,49985,8926
16079,39091,3291
16081,68818,8625
16083,50778,1784
16085,55299,6674
16087,37206,3857
17001,51398,1583
17003,34709,3017
17005,58097,5803
17007,66898,4955
17009,58762,2302
17011,55940,2114
17013,54392,6158
17015,51228,3421
17017,51997,2526
17019,51692,1225
17021,52415,2072
17023,54158,3644
17025,48691,3604
17027,65010,3226
17029,44071,3008
17031,62088,368
17033,49233,2101
17035,53376,3402
17037,61086,1996
17039,55591,4243
17041,54218,1737
17043,88711,938
17045,51109,4048
17047,49766,2324
17049,56293,3135
17051,44432,2826
17053,51120,2513
17055,41414,1698
17057,50180,2198
17059,42500,3799
17061,46052,2385
17063,74140,2712
17065,56862,4069
17067,51549,2030
17069,43081,6298
17071,52712,3262
17073,57250,2395
17075,51825,2670
17077,37802,2222
17079,54951,3464
17081,47617,2804
17083,56747,3388
17085,57083,2289
17087,50923,3303
17089,76912,1214
17091,57981,1451
17093,91764,3050
17095,43709,1897
17097,86244,1199
17099,56243,1366
17101,45654,3655
17103,57901,2678
17105,56200,3116
17107,57899,2733
17109,43724,3039
17111,84803,1730
17113,65813,1540
17115,50444,1467
17117,53778,2295
17119,57890,1377
17121,46102,1606
17123,55901,3261
17125,45596,2976
17127,42604,3994
17129,69102,5243
17131,58011,2218
17133,81268,5031
17135,50304,2160
17137,48508,2722
17139,59623,4609
17141,59707,1963
17143,54770,1331
17145,48298,4514
17147,69271,3117
17149,42664,2354
17151,40671,11198
17153,33799,3265
17155,65034,4231
17157,52107,2247
17159,48724,3352
17161,52630,1218
17163,53681,1252
17165,41167,2422
17167,60466,1316
17169,46151,4089
17171,53973,4910
17173,51157,1581
17175,52260,4203
17177,48016,1535
17179,62342,1448
17181,49182,2441
17183,45384,1686
17185,51432,4777
17187,49607,3625
17189,59469,3085
17191,49764,2309
17193,47773,3108
17195,53828,2296
17197,83504,820
17199,49053,2034
17201,52743,803
17203,71867,2732
18001,51713,3626
18003,53402,720
18005,59045,2696
18007,46188,4001
18009,42217,2870
18011,80567,3143
18013,61455,4555
18015,56429,3058
18017,47545,2318
18019,54240,1189
18021,53021,2294
18023,52488,2916
18025,43875,4851
18027,51032,2118
18029,65096,2515
18031,54622,1928
18033,53808,2076
18035,42705,1457
18037,58994,3970
18039,55399,1260
18041,43317,2254
18043,61754,1792
18045,49887,2840
18047,58382,2930
18049,49333,3213
18051,52620,2726
18053,42593,1787
18055,49177,2746
18057,94644,2262
18059,73142,2186
18061,57132,3313
18063,78355,1631
18065,48235,1827
18067,50869,1938
18069,52208,1838
18071,49506,3494
18073,59574,2374
18075,44772,3006
18077,51119,2756
18079,49801,3944
18081,68712,2115
18083,46457,2124
18085,58402,1991
18087,60675,2948
18089,54249,720
18091,51101,1370
18093,52092,2964
18095,47436,1274
18097,46692,604
18099,54229,1733
18101,51224,3619
18103,47460,2030
18105,47075,1695
18107,53610,2718
18109,62462,1888
18111,53146,3168
18113,55033,2988
18115,61148,4376
18117,45341,3741
18119,48667,3749
18121,48788,4186
18123,51064,2558
18125,52527,2812
18127,68044,1777
18129,62583,3006
18131,48370,3970
18133,56169,2581
18135,45601,1885
18137,56295,2366
18139,50535,2767
18141,50938,1172
18143,47123,3243
18145,59214,3320
18147,56998,3103
18149,48895,2227
18151,56101,2154
18153,46517,3212
18155,47929,4007
18157,51844,1478
18159,55479,2947
18161,48227,3082
18163,46943,1167
18165,48377,2530
18167,43859,1170
18169,50637,1869
18171,61148,5411
18173,70648,2954
18175,47078,3538
18177,44228,1545
18179,56265,3748
18181,55086,2801
18183,61153,2213
19001,51859,2747
19003,49229,4027
19005,51057,4814
19007,41111,2506
19009,50397,3408
19011,65475,2555
19013,52688,1246
19015,61111,2181
19017,68023,3461
19019,61409,4096
19021,54556,2888
19023,55999,2104
19025,50800,2591
19027,57674,3499
19029,48178,3562
19031,65791,2054
19033,52902,1573
19035,54658,3742
19037,55385,3375
19039,51571,2506
19041,47874,4268
19043,52828,3652
19045,50156,2409
19047,53609,2350
19049,84790,2628
19051,58464,7129
19053,42614,2685
19055,61179,3973
19057,49977,1920
19059,58099,5435
19061,61321,1092
19063,48542,5719
19065,50015,1852
19067,48110,3133
19069,53742,2544
19071,54281,3367
19073,54050,4095
19075,66965,2197
19077,57075,2016
19079,56273,2351
19081,61167,2294
19083,53872,2095
19085,60063,2340
19087,52428,2594
19089,52742,3010
19091,52219,3709
19093,55969,4584
19095,58570,5894
19097,54070,3123
19099,55727,3204
19101,43378,3950
19103,61640,1417
19105,56012,2263
19107,51043,2573
19109,54146,2475
19111,48571,2923
19113,64862,1320
19115,53943,4249
19117,50206,3799
19119,64352,2639
19121,64512,4408
19123,52950,1915
19125,58492,2948
19127,54027,1407
19129,69177,3483
19131,55553,2948
19133,45252,3988
19135,49549,7537
19137,47648,4351
19139,57348,3178
19141,53045,2564
19143,58125,3501
19145,49974,3116
19147,52462,3337
19149,64296,3623
19151,49877,3151
19153,66044,1154
19155,57467,2306
19157,53520,3098
19159,52005,3870
19161,54958,2418
19163,58803,1385
19165,55489,5405
19167,67178,2517
19169,54554,1755
19171,55898,2672
19173,48717,2494
19175,47518,2998
19177,47083,3327
19179,45233,2444
19181,74383,2944
19183,61769,2815
19185,45017,3254
19187,44261,2199
19189,51002,2591
19191,62820,2110
19193,55483,1519
19195,54329,3368
19197,50198,3635
20001,42679,2726
20003,46274,6396
20005,48667,3855
20007,50613,5019
20009,50198,2734
20011,40733,1342
20013,48547,3785
20015,63272,2187
20017,46295,5387
20019,38690,2537
20021,41103,3275
20023,46833,4595
20025,50368,6765
20027,56186,4532
20029,44143,1835
20031,58636,3782
20033,56912,4100
20035,48087,1792
20037,40174,1415
20039,44104,4161
20041,48167,3545
20043,49338,3952
20045,55832,2064
20047,49293,3364
20049,38494,2496
20051,52700,4242
20053,48188,4498
20055,56573,3623
20057,53072,2421
20059,55486,2842
20061,49185,2156
20063,48894,3918
20065,40769,3891
20067,55455,9500
20069,64426,2378
20071,51250,8034
20073,42595,2875
20075,45000,8976
20077,49455,4800
20079,56051,2814
20081,53527,5094
20083,53854,6908
20085,55904,3009
20087,61793,2528
20089,42552,5114
20091,84915,913
20093,51314,5111
20095,58483,3993
20097,51336,4714
20099,47668,3485
20101,51719,11522
20103,71184,2277
20105,46196,5221
20107,43699,6469
20109,51597,3191
20111,44191,3806
20113,57765,3206
20115,51262,3013
20117,50234,2722
20119,55568,3521
20121,69150,4161
20123,45221,4006
20125,45173,2772
20127,50352,6012
20129,43925,5114
20131,58644,4415
20133,44294,2996
20135,51033,5672
20137,49891,4999
20139,55036,2577
20141,48355,6994
20143,51971,5974
20145,42853,5011
20147,48272,1690
20149,64657,4688
20151,54029,3674
20153,48125,6393
20155,49174,1352
20157,48022,3895
20159,50764,5615
20161,49910,2479
20163,50511,2741
20165,40598,5471
20167,52806,3252
20169,50515,1520
20171,71394,11173
20173,54974,758
20175,47025,3239
20177,55199,1505
20179,56071,9269
20181,52847,5234
20183,43438,4159
20185,48563,2935
20187,46726,5581
20189,56507,7837
20191,54915,3412
20193,57478,4452
20195,56810,6910
20197,60450,3941
20199,58875,13604
20201,48889,3196
20203,57566,10866
20205,46208,3337
20207,34621,4407
20209,44873,939
21001,39346,3589
21003,40893,2985
21005,54160,3933
21007,44350,3284
21009,40216,1507
21011,40837,3808
21013,24628,2786
21015,75043,2354
21017,51462,3221
21019,46165,3160
21021,43274,2476
21023,45827,4482
21025,26376,2403
21027,48189,3056
21029,60534,2127
21031,40061,4957
21033,44940,6440
21035,40219,2017
21037,59782,2488
21039,39664,4204
21041,43258,3524
21043,33067,2513
21045,34457,2527
21047,41235,1849
21049,52938,1861
21051,26250,3399
21053,31115,2774
21055,43169,3446
21057,32906,4710
21059,49836,2043
21061,41360,5129
21063,33377,4651
21065,31337,2576
21067,54918,1106
21069,42213,3319
21071,31267,2458
21073,55068,2123
21075,28559,5037
21077,50204,3849
21079,49888,3277
21081,45610,4430
21083,41615,1819
21085,37906,2615
21087,37374,3571
21089,49343,2313
21091,52019,3685
21093,53168,1849
21095,26324,1943
21097,49696,3830
21099,37795,2962
21101,45389,3458
21103,51447,3174
21105,40463,4654
21107,45738,2211
21109,32143,3874
21111,54357,556
21113,56728,3760
21115,37559,2511
21117,61606,1482
21119,29326,3464
21121,28790,2342
21123,41779,3612
21125,39230,2101
21127,31813,4863
21129,23972,3741
21131,30798,4878
21133,29856,2344
21135,31096,3992
21137,39833,2684
21139,46076,6476
21141,43842,3368
21143,50097,5244
21145,44486,2350
21147,23273,3028
21149,50445,2302
21151,48687,2335
21153,29516,3679
21155,38544,2955
21157,50731,3792
21159,35125,4866
21161,41415,5350
21163,57963,3960
21165,39905,4718
21167,50475,3367
21169,35809,6063
21171,34167,4035
21173,41974,3330
21175,34419,2504
21177,43110,2396
21179,57469,3191
21181,41354,6933
21183,42826,2603
21185,97597,2940
21187,45338,4853
21189,25530,9201
21191,52620,6510
21193,31046,2631
21195,34081,1559
21197,36958,3537
21199,37921,2782
21201,38864,17224
21203,36468,3074
21205,37639,3489
21207,36159,2231
21209,66966,2789
21211,64240,3108
21213,48311,3451
21215,77738,6915
21217,39055,2615
21219,41865,4650
21221,52279,6191
21223,47470,7965
21225,42844,3234
21227,52007,1820
21229,50794,4343
21231,34039,2391
21233,40947,2658
21235,36897,3985
21237,22458,5889
21239,62629,3641
22001,41177,3101
22003,41009,2733
22005,76589,3279
22007,44744,6150
22009,38077,3142
22011,50738,3694
22013,30300,2523
22015,53806,2020
22017,40866,1194
22019,49452,1371
22021,32174,5773
22023,55000,13852
22025,38854,7020
22027,27303,2774
22029,31813,5909
22031,44230,3092
22033,52719,1110
22035,21161,2639
22037,48129,4526
22039,32180,2394
22041,35466,2176
22043,40792,2359
22045,45274,2488
22047,47797,5222
22049,38523,4546
22051,52558,831
22053,39653,2929
22055,54726,1425
22057,53089,1955
22059,36868,3549
22061,34154,2582
22063,63159,2432
22065,27810,2807
22067,33333,2531
22069,27795,1572
22071,39576,882
22073,41314,1193
22075,52386,5481
22077,44269,3795
22079,44852,1596
22081,33446,6568
22083,34422,5064
22085,39465,2575
22087,46011,2745
22089,66620,2567
22091,39895,6619
22093,50661,3298
22095,54821,4413
22097,33288,2619
22099,47974,3530
22101,40485,1543
22103,67706,1782
22105,46297,1962
22107,23870,2634
22109,48866,2239
22111,43083,4908
22113,50690,2701
22115,47772,1438
22117,34985,2963
22119,30358,1979
22121,60908,4083
22123,36528,5377
22125,55510,4719
22127,35398,6284
23001,51412,1287
23003,39824,1210
23005,69708,1111
23007,48053,2173
23009,53068,1671
23011,52929,1484
23013,55402,1899
23015,55180,2509
23017,47275,1817
23019,49374,1640
23021,39470,1873
23023,62131,2508
23025,42491,2161
23027,51564,1933
23029,41384,1570
23031,65538,1510
24001,44065,1148
24003,97810,1299
24005,74127,922
24009,104301,3548
24011,54956,2419
24013,93363,1867
24015,72845,2208
24017,95924,2651
24019,52145,4243
24021,91999,1580
24023,49619,1948
24025,85942,1584
24027,117730,2023
24029,56009,3890
24031,106287,926
24033,81969,837
24035,92167,4671
24037,90438,3303
24039,42165,3590
24041,67204,5374
24043,59719,1519
24045,56608,1832
24047,61145,2866
24510,48840,715
25001,70621,1245
25003,56674,1559
25005,66157,880
25007,71224,12123
25009,75878,1022
25011,59522,1827
25013,53403,860
25015,67044,1955
25017,97012,1021
25019,105171,5612
25021,99511,1321
25023,85654,1241
25025,64582,805
25027,71895,745
26001,39735,1590
26003,46007,4136
26005,59883,1786
26007,41991,1451
26009,52589,1768
26011,40769,1245
26013,42444,2579
26015,61016,2228
26017,48005,1473
26019,56639,3148
26021,49135,1239
26023,50536,1543
26025,47426,1119
26027,53571,1744
26029,53207,2248
26031,46161,2100
26033,44483,2030
26035,37369,1443
26037,67482,1843
26039,47443,3194
26041,46490,2326
26043,48966,2135
26045,62474,1179
26047,54055,1506
26049,47006,731
26051,43290,1368
26053,38798,3213
26055,61485,1900
26057,44991,1870
26059,48392,1547
26061,42852,2010
26063,46320,1020
26065,50940,799
26067,54343,2112
26069,42102,1302
26071,38918,2509
26073,44408,1929
26075,51431,1295
26077,54431,1118
26079,46004,2417
26081,60351,858
26083,49779,5065
26085,34631,1689
26087,58952,2015
26089,63831,2584
26091,53972,1421
26093,80897,1486
26095,42255,3662
26097,46507,2323
26099,60466,672
26101,47172,2038
26103,50771,1421
26105,49663,2106
26107,44460,1813
26109,45508,1955
26111,59271,2398
26113,44766,1878
26115,61514,1239
26117,47000,1473
26119,42305,2634
26121,48329,978
26123,46724,1209
26125,76387,629
26127,46217,2117
26129,40150,1526
26131,38906,2108
26133,42689,1546
26135,40255,2033
26137,52645,2766
26139,67468,984
26141,46439,2090
26143,40302,1468
26145,46919,752
26147,55240,1156
26149,50117,1027
26151,45277,1461
26153,40747,2495
26155,54742,1401
26157,47694,1341
26159,52351,1557
26161,69434,1194
26163,45321,376
26165,44166,1397
27001,45989,2244
27003,79923,1132
27005,59278,1882
27007,47410,2260
27009,56357,2775
27011,51920,3291
27013,55861,1830
27015,57728,3041
27017,60390,2897
27019,97895,2694
27021,50173,1503
27023,54552,5908
27025,80409,2335
27027,65000,2804
27029,46291,1989
27031,52271,3328
27033,53354,2701
27035,54508,1489
27037,83288,1023
27039,71669,2966
27041,60676,3012
27043,52286,2106
27045,59451,1637
27047,52447,1975
27049,64765,2211
27051,55912,2921
27053,74113,672
27055,58729,2516
27057,55472,1844
27059,72473,2763
27061,53022,1487
27063,57010,3075
27065,53300,1935
27067,59089,2058
27069,57112,3671
27071,47129,4407
27073,52199,1651
27075,59516,5237
27077,49068,2315
27079,67451,2240
27081,52301,1892
27083,55525,1986
27085,61275,2251
27087,44537,2879
27089,58723,2285
27091,53915,4255
27093,61856,1904
27095,53888,2167
27097,54962,1736
27099,53665,3302
27101,57500,3537
27103,65027,3205
27105,54149,3111
27107,55206,2234
27109,74880,1753
27111,57131,1540
27113,59036,5827
27115,49138,1671
27117,52309,5071
27119,57151,2019
27121,58132,2889
27123,62304,705
27125,56588,4027
27127,53230,2747
27129,57886,2870
27131,65758,2206
27133,59890,3719
27135,59644,2194
27137,53344,811
27139,97744,2857
27141,85818,2247
27143,62761,1604
27145,60606,1171
27147,62731,2041
27149,58363,3753
27151,48577,2703
27153,52872,1868
27155,48784,4426
27157,65138,1885
27159,45860,2968
27161,55612,2580
27163,92376,1760
27165,51097,3336
27167,54935,3799
27169,55529,2364
27171,81881,2235
27173,56943,3234
28001,29203,2047
28003,40180,2264
28005,31854,3864
28007,34756,2222
28009,35974,5242
28011,29912,1918
28013,36440,1772
28015,43060,5802
28017,35939,3065
28019,37203,3528
28021,26732,4594
28023,39246,2859
28025,35121,4821
28027,30009,3835
28029,40361,3064
28031,35931,6174
28033,65169,1617
28035,40675,2552
28037,40810,6584
28039,48319,5187
28041,49447,5857
28043,36877,3654
28045,47543,4617
28047,45566,1360
28049,43005,1236
28051,21093,1362
28053,28507,2368
28055,25776,8356
28057,40510,4313
28059,51142,1836
28061,35931,4566
28063,20188,3089
28065,30083,5768
28067,41263,3241
28069,28176,4952
28071,47132,4004
28073,58188,3250
28075,41704,2220
28077,42290,5007
28079,33482,4567
28081,47978,1722
28083,26052,2080
28085,40355,3626
28087,45355,3489
28089,71690,2395
28091,31446,1825
28093,41572,3790
28095,40940,4281
28097,33667,5391
28099,36875,2295
28101,33831,3057
28103,36000,4776
28105,38800,3306
28107,36563,2215
28109,45820,4345
28111,39007,8024
28113,30910,1794
28115,41379,2411
28117,37519,3908
28119,25510,2768
28121,64557,1536
28123,33735,3749
