FIPS,Median Household income 2012,Median Household income 2016,Median Household income 2018,Median household income 2010,Household Median Income
36119,124503.0,89709.0,94811.0,77415.0,92758
37001,54320.0,45100.0,49979.0,41058.0,45735
37019,65991.0,50692.0,60496.0,43884.0,54406
37021,60551.0,50685.0,53980.0,43241.0,50668
37023,49340.0,40345.0,43663.0,38131.0,42516
37025,71425.0,63386.0,69679.0,48666.0,64174
37027,41876.0,36301.0,42257.0,36050.0,42072
37031,64635.0,51206.0,54833.0,40614.0,54428
37035,56416.0,48913.0,53454.0,41244.0,51157
37045,45353.0,36992.0,40690.0,38282.0,40393
37049,58734.0,49938.0,50509.0,40218.0,50870
37051,55445.0,45205.0,46716.0,43205.0,45716
37057,54963.0,45678.0,45320.0,39660.0,47271
37063,71556.0,53832.0,58073.0,47401.0,58190
37067,64044.0,48271.0,49166.0,43537.0,50128
37071,55075.0,48711.0,52741.0,39054.0,49384
37081,60527.0,47262.0,51803.0,42090.0,51072
37085,56571.0,51637.0,51022.0,39584.0,51630
37089,53963.0,54963.0,53706.0,43105.0,52815
37097,65577.0,55891.0,59341.0,45714.0,58198
37101,56609.0,54719.0,60132.0,45988.0,56842
37109,60870.0,49453.0,63782.0,42456.0,53318
37119,80758.0,62978.0,63967.0,52188.0,64312
37125,68779.0,52279.0,58531.0,47692.0,57899
37127,53066.0,47902.0,51601.0,42967.0,48362
37129,68346.0,50028.0,52239.0,46130.0,52716
37133,54584.0,47150.0,50639.0,41787.0,49491
37135,87236.0,66423.0,72563.0,48207.0,68211
37147,50924.0,46573.0,42481.0,39222.0,44315
37151,51818.0,44836.0,47653.0,38267.0,45006
37155,40537.0,34254.0,35037.0,29453.0,33679
37157,45406.0,40985.0,40688.0,37818.0,42490
37159,49843.0,48379.0,46035.0,37360.0,48667
37161,44666.0,36121.0,43111.0,35442.0,40347
37171,52625.0,36802.0,48398.0,35928.0,41068
37179,82292.0,71588.0,80337.0,65576.0,75397
37183,84674.0,76097.0,79970.0,61426.0,76956
37191,50564.0,41711.0,40791.0,40787.0,42192
37193,46365.0,41332.0,43466.0,31869.0,40829
37195,48897.0,39036.0,42769.0,34883.0,42850
38015,82582.0,64558.0,71172.0,55489.0,69719
38017,70506.0,59240.0,62418.0,50616.0,62031
38035,61905.0,50008.0,52853.0,42923.0,51951
39003,54480.0,47592.0,49063.0,41057.0,50552
39007,46896.0,42965.0,46349.0,38751.0,44823
39013,56405.0,48220.0,50250.0,38548.0,49361
39017,69896.0,63273.0,60589.0,54541.0,63358
39023,51415.0,46811.0,49875.0,39580.0,48502
39025,72430.0,60661.0,64526.0,56952.0,64822
39029,57391.0,47864.0,43745.0,35909.0,46306
39035,62041.0,46601.0,49910.0,41347.0,48435
39041,103313.0,101693.0,99881.0,85146.0,104322
39043,62310.0,48949.0,49751.0,42246.0,52270
39045,72329.0,65316.0,67144.0,55981.0,66175
39049,68046.0,56055.0,60373.0,47557.0,58762
39055,88131.0,76384.0,82784.0,61236.0,79956
39057,73750.0,62018.0,67680.0,51048.0,67109
39061,67498.0,53229.0,57189.0,46236.0,54976
39063,63909.0,52810.0,60788.0,50150.0,55644
39081,54433.0,44257.0,40308.0,36008.0,44819
39085,67811.0,61870.0,65835.0,52685.0,63475
39089,67857.0,58685.0,67784.0,51132.0,62715
39093,63004.0,54504.0,58613.0,50200.0,56965
39095,55215.0,44534.0,47360.0,38773.0,46924
39099,53511.0,42295.0,47962.0,37847.0,44682
39101,50841.0,42826.0,43008.0,38824.0,45464
39103,76889.0,72618.0,75786.0,63543.0,74243
39109,64668.0,60170.0,58486.0,49222.0,57544
39113,56242.0,46936.0,50838.0,40618.0,49314
39119,50412.0,43422.0,49602.0,40894.0,45276
39133,65232.0,49695.0,64550.0,49244.0,56618
39139,53513.0,44073.0,49564.0,41572.0,47346
39141,54194.0,46422.0,46769.0,40811.0,48403
39145,48528.0,39210.0,37257.0,36859.0,39731
39151,57544.0,50994.0,52068.0,42664.0,52190
39153,65175.0,52036.0,58876.0,45593.0,55448
39155,51427.0,45552.0,46196.0,40153.0,45975
39157,56019.0,50440.0,49658.0,38882.0,51170
39165,97610.0,80207.0,86473.0,66499.0,83330
39169,60019.0,53434.0,59111.0,46288.0,56348
39173,66309.0,60166.0,63695.0,47485.0,59789
40017,76932.0,67177.0,70204.0,56072.0,71157
40027,70258.0,61288.0,62096.0,50967.0,62863
40031,55059.0,51164.0,52089.0,43817.0,52227
40037,56592.0,43609.0,55264.0,40640.0,49578
40101,48318.0,40860.0,45290.0,39910.0,42689
40109,64606.0,51078.0,52214.0,42564.0,52855
40119,52066.0,35927.0,48031.0,35488.0,40944
40125,53615.0,41716.0,48776.0,36795.0,47683
40131,66367.0,62434.0,60148.0,56176.0,62949
40143,66464.0,51325.0,55638.0,43836.0,53902
40145,64371.0,62041.0,62421.0,57884.0,61566
41003,67411.0,55459.0,63773.0,45913.0,58655
41005,81924.0,74891.0,81278.0,57298.0,76597
41017,64640.0,61870.0,67577.0,44680.0,63680
41019,50620.0,42889.0,47004.0,36510.0,45812
41029,59424.0,48563.0,56546.0,40177.0,50851
41033,47981.0,36472.0,48315.0,36626.0,43046
41035,49315.0,45604.0,45354.0,37660.0,43522
41039,55906.0,47777.0,53172.0,40276.0,49958
41043,52156.0,51310.0,54113.0,42900.0,52097
41047,57495.0,56550.0,56341.0,44570.0,56097
41051,70699.0,62629.0,71186.0,48043.0,64337
41053,59215.0,52485.0,61616.0,48809.0,58344
41059,54301.0,50171.0,56842.0,44107.0,51887
41067,80254.0,75634.0,83068.0,60489.0,78010
41071,61807.0,61596.0,60893.0,50297.0,59484
42001,69324.0,59300.0,62284.0,55652.0,64507
42003,72077.0,56140.0,59899.0,47505.0,58383
42005,52635.0,47398.0,49950.0,43695.0,49032
42007,58980.0,55221.0,54660.0,43898.0,55828
42011,68265.0,59286.0,62564.0,51759.0,61522
42013,53745.0,43443.0,49942.0,42990.0,47969
42017,95823.0,79936.0,88569.0,70999.0,86055
42019,74144.0,66426.0,66423.0,54256.0,68472
42021,53409.0,44100.0,45084.0,41220.0,45901
42025,61145.0,51676.0,53227.0,50332.0,53624
42027,68963.0,60266.0,57333.0,44746.0,58055
42029,108903.0,92407.0,99119.0,84284.0,96726
42033,49415.0,47352.0,46205.0,36331.0,47270
42037,58957.0,49186.0,50601.0,42086.0,49889
42039,52925.0,45410.0,51502.0,38321.0,49144
42041,76608.0,63530.0,71802.0,56209.0,68895
01003,62801.0,56732.0,56813.0,47502.0,55962
01015,51617.0,41687.0,45818.0,36675.0,45197
01043,48609.0,39411.0,44612.0,35786.0,42558
01049,47097.0,35963.0,36998.0,35967.0,39233
01051,62154.0,52579.0,60796.0,52222.0,59347
01055,47484.0,41152.0,45868.0,35897.0,44023
01069,59028.0,42321.0,48105.0,38579.0,45496
01073,63958.0,50180.0,55206.0,41583.0,51979
01077,55651.0,43427.0,49014.0,38661.0,46265
01081,57409.0,48056.0,46456.0,39381.0,48056
01083,65818.0,50872.0,67000.0,50325.0,56460
01089,74355.0,60503.0,63111.0,53539.0,63417
01095,52306.0,42362.0,47528.0,39343.0,42490
01097,54274.0,45744.0,43061.0,39998.0,46166
01101,58997.0,45395.0,49989.0,41946.0,47990
01103,56247.0,44378.0,53260.0,45513.0,49751
01115,60915.0,60158.0,56602.0,48316.0,54887
01117,83281.0,73647.0,71230.0,65673.0,75761
01121,44773.0,39393.0,40315.0,34488.0,41012
01125,57486.0,47787.0,54459.0,43450.0,52221
01127,50766.0,39068.0,47602.0,35150.0,41748
02020,92256.0,85634.0,83648.0,72128.0,83280
02090,83536.0,77328.0,75448.0,60785.0,77095
02170,82680.0,69332.0,72667.0,68940.0,75905
04001,41903.0,34685.0,30207.0,30744.0,32963
04003,57372.0,45508.0,50495.0,45213.0,48649
04005,62663.0,55091.0,61843.0,42130.0,57616
04013,70241.0,58737.0,65252.0,50410.0,61606
04015,47610.0,42423.0,46060.0,36456.0,43266
04017,44761.0,36998.0,40463.0,40623.0,40054
04019,61731.0,47560.0,53464.0,44274.0,51037
04021,58536.0,52555.0,59058.0,50110.0,55550
04025,56210.0,50420.0,48148.0,40274.0,50180
04027,49642.0,43518.0,43403.0,42240.0,44058
05007,70524.0,63631.0,67164.0,52368.0,64141
05031,59819.0,43678.0,44810.0,36320.0,45868
05045,61040.0,48506.0,51437.0,43033.0,51930
05051,58290.0,42826.0,42779.0,36482.0,43146
05069,47969.0,37712.0,35652.0,33474.0,38289
05085,61692.0,55837.0,53782.0,49367.0,57509
05119,62362.0,47387.0,49613.0,44482.0,50093
05125,67183.0,64932.0,63084.0,52664.0,62152
05131,52529.0,42053.0,46826.0,38093.0,43240
05143,57984.0,45679.0,50342.0,38278.0,49629
05145,52930.0,42844.0,42270.0,38326.0,43822
06001,95429.0,89979.0,102125.0,67169.0,92574
06007,57473.0,45177.0,51652.0,41657.0,48443
06013,102019.0,91045.0,101618.0,73721.0,93712
06017,89326.0,75772.0,82742.0,66129.0,80582
06019,59314.0,48715.0,52629.0,45221.0,51261
06023,53908.0,43130.0,50294.0,38492.0,45528
06025,51780.0,49095.0,48984.0,41802.0,45834
06029,63091.0,49903.0,51579.0,45524.0,52479
06031,63204.0,53234.0,61663.0,44609.0,53865
06033,45352.0,42029.0,48554.0,34910.0,42475
06037,77581.0,61338.0,68093.0,52684.0,64251
06039,56024.0,51657.0,56305.0,48268.0,52884
06041,137575.0,103845.0,126373.0,83867.0,110217
06045,52826.0,43809.0,51830.0,40536.0,49233
06047,57643.0,47739.0,57745.0,42449.0,50129
06053,76172.0,63876.0,70681.0,54534.0,66676
06055,91295.0,75077.0,87025.0,64401.0,84753
06057,75255.0,59022.0,66299.0,54456.0,63240
06059,98072.0,81837.0,89759.0,70880.0,85398
06061,88182.0,85426.0,88592.0,67884.0,84357
06065,69066.0,60134.0,66964.0,54296.0,63948
06067,69662.0,59780.0,69767.0,52709.0,63902
06071,64746.0,56337.0,63857.0,52607.0,60164
06073,81326.0,70824.0,79079.0,59923.0,74855
06075,107259.0,103801.0,112376.0,71745.0,104552
06077,67885.0,59518.0,64119.0,50011.0,61145
06079,78744.0,70564.0,71148.0,53978.0,70699
06081,119467.0,108627.0,124425.0,82748.0,113776
06083,83192.0,67436.0,77472.0,56767.0,71657
06085,119200.0,111069.0,126606.0,85002.0,116178
06087,91901.0,77613.0,86941.0,61071.0,78041
06089,59410.0,46724.0,56280.0,41023.0,50905
06095,78619.0,73900.0,84395.0,63384.0,77609
06097,81555.0,73929.0,81395.0,59055.0,76753
06099,62037.0,54305.0,60321.0,48044.0,57387
06101,66209.0,51397.0,59121.0,46521.0,56955
06107,55215.0,45881.0,48817.0,43397.0,47518
06111,94173.0,80135.0,84566.0,71864.0,84017
06113,74133.0,64904.0,68670.0,55798.0,65923
06115,55440.0,49259.0,46574.0,45755.0,52624
08001,66001.0,66033.0,70743.0,52711.0,67575
08005,82230.0,70950.0,76768.0,57724.0,73925
08013,92308.0,74615.0,83755.0,61859.0,78642
08031,74611.0,61105.0,68377.0,45074.0,63793
08035,116538.0,109292.0,119615.0,94909.0,115314
08041,72975.0,63882.0,68119.0,51458.0,65334
08059,85143.0,74186.0,85890.0,63826.0,78943
08069,74062.0,66469.0,71091.0,54154.0,67664
08077,62360.0,48846.0,49848.0,46231.0,53683
08101,52711.0,44677.0,48468.0,38326.0,44634
08123,70556.0,63400.0,75938.0,51956.0,70908
09001,131645.0,90123.0,91079.0,74831.0,92969
09003,84018.0,69433.0,73151.0,60041.0,72321
09005,84669.0,76993.0,76043.0,66307.0,78314
09007,95846.0,79739.0,89131.0,69566.0,84761
09009,78525.0,66176.0,67845.0,57056.0,67128
09011,84060.0,70699.0,67197.0,62349.0,71368
09013,90327.0,81252.0,91646.0,75626.0,84916
09015,68533.0,61608.0,65765.0,60026.0,64774
10001,65595.0,54140.0,54419.0,54617.0,58775
10003,81048.0,67274.0,69479.0,59959.0,70996
10005,64093.0,57734.0,60277.0,49006.0,60853
11001,102160.0,75506.0,85203.0,60903.0,82604
12001,61773.0,45304.0,51241.0,40358.0,49078
12005,57988.0,49157.0,52107.0,44881.0,51829
12009,62164.0,51184.0,57888.0,46262.0,54359
12011,69004.0,54212.0,57278.0,48063.0,57333
12015,55576.0,44200.0,52927.0,42031.0,49225
12017,51172.0,39206.0,39964.0,35459.0,41424
12019,68894.0,56315.0,61825.0,58263.0,62653
12021,88799.0,61228.0,69867.0,52730.0,65675
12023,49302.0,42019.0,48848.0,32488.0,44491
12031,60414.0,51980.0,55832.0,46078.0,53473
12033,56545.0,44788.0,51050.0,41483.0,49286
12035,58680.0,49395.0,58963.0,43993.0,53872
12053,46909.0,47253.0,45977.0,37459.0,46030
12055,45257.0,36490.0,39796.0,34561.0,37314
12057,67014.0,54588.0,58480.0,46117.0,56137
12061,70373.0,49072.0,57508.0,47335.0,52336
12069,56247.0,50226.0,52096.0,42033.0,51884
12071,64904.0,52909.0,56129.0,43936.0,54691
12073,62949.0,51107.0,50682.0,41694.0,51201
12081,67256.0,51748.0,59956.0,44785.0,56036
12083,50312.0,39383.0,44576.0,37044.0,43361
12085,74571.0,54620.0,59978.0,48311.0,57959
12086,63863.0,45935.0,52205.0,40219.0,48982
12087,85017.0,65717.0,71973.0,50619.0,67023
12089,76810.0,71515.0,63913.0,60729.0,66297
12091,65871.0,60026.0,63997.0,51529.0,62048
12095,63886.0,51335.0,58588.0,45140.0,54335
