FIPS,Evangelical Protestant,Black Protestant,Mainline Protestant,Catholic,Orthodox,Other,Year
01001,0.5039899999999999,0.041978888889999996,0.08285888889000001,0.03235888889,,0.015688888890000002,2010
01003,0.3181388889,0.017169999999999998,0.11014000000000002,0.07685888889,0.0010400000000000001,0.00838,2010
01005,0.32025,0.12120888889999999,0.07793888889,0.02094,,0.009649999999999999,2010
01007,0.4433288889,0.042158888889999996,0.01317888889,,,0.00013000000000000002,2010
01009,0.5097999999999999,0.0010099999999999998,0.05295,0.08276,,0.00508888889,2010
01011,0.19718,0.3156488889,0.05507000000000001,0.00449,,0.00486,2010
01013,0.4130888889,0.07909888889,0.07890888889,0.00368,,0.01135888889,2010
01015,0.5698088889,0.043538888889999995,0.05959,0.026919999999999996,0.00034,0.01341,2010
01017,0.37711999999999996,0.16893,0.09001888889,0.00728,,0.0069900000000000006,2010
01019,0.41806000000000004,,0.06117888889,,,,2010
01021,0.6096688889,0.02557,0.041358888889999994,0.01625,,0.00573,2010
01023,0.4386988889,0.1901288889,0.05692888889,0.00433,,0.01133,2010
01025,0.5277688889000001,0.19734000000000002,0.06317888888999999,0.00043,,0.00368,2010
01027,0.63875,0.012990000000000002,0.0745,0.01334888889,,7e-05,2010
01029,0.69697,0.01222,0.056368888889999996,,,7e-05,2010
01031,0.51832,0.02642888889,0.06920888889,0.031030000000000002,,0.01612,2010
01033,0.5467588889,0.059820000000000005,0.06188,0.026000000000000002,,0.00013000000000000002,2010
01035,0.3248388889,0.15118888889999998,0.07415888889,,,0.02055888889,2010
01037,0.36225,0.12029000000000002,0.05,,,0.00026000000000000003,2010
01039,0.53097,0.01792888889,0.055420000000000004,0.007709999999999999,,0.0072299999999999994,2010
01041,0.5351588889,0.01755,0.06292,,,0.016038888890000002,2010
01043,0.6698888889,,0.04599,0.057379999999999994,,0.007758888890000001,2010
01045,0.3577788889,0.03763,0.07387,0.005529999999999999,,0.01735,2010
01047,0.3825688889,0.1460088889,0.05564,0.012229999999999998,,0.009358888890000002,2010
01049,0.45755,,0.0552,0.03736888889,,0.0035399999999999997,2010
01051,0.35603999999999997,0.02398,0.07442,0.00853888889,,0.0067,2010
01053,0.4675688889,0.05646888888999999,0.04825,0.01383,,0.014459999999999999,2010
01055,0.6158788889,0.04609,0.05568888889,0.07301,,0.013758888890000001,2010
01057,0.5504288889,0.03137888889,0.04610888889,0.0052188888899999996,,0.007128888890000001,2010
01059,0.5277888889,0.01658888889,0.03768888889,0.04689888889,,0.014980000000000002,2010
01061,0.47805,0.043148888889999994,0.07315888889,0.00187,,0.01921888889,2010
01063,0.12537,0.09475,0.04146,0.00408888889,,0.00243,2010
