FIPS,County Name,State,Size,Pop 2012,Pop 2013,Pop 2014,Pop 2015,GDP 2012,GDP 2013,GDP 2014,GDP 2015,GDP/capita 2012,GDP/capita 2013,GDP/capita 2014,GDP/capita 2015,% Change (2012-2015),% Change (2014-2015),Add Zero FIPS
49005,Cache,UT,Medium,115858,117043,117867,119748,3514090,3673960,3812181,4038145,30331.00865,31389.831089999996,32343.073119999997,33722.024580000005,11.2%,4.3%,049005
22005,Ascension,LA,Medium,112203,114572,117263,119376,9786048,8657733,8578373,8089442,87217.34713,75565.87124,73154.98495,67764.3915,-22.3%,-7.4%,022005
01103,Morgan,AL,Medium,120075,119539,119408,119199,4183977,4359324,4508113,4616113,34844.697060000006,36467.797119999996,37753.86071,38726.10508,11.1%,2.6%,01103
51944,Roanoke + Salem,VA,Medium,117903,118648,118803,118745,4914307,5152994,5286807,5556397,41680.93263,43430.93857,44500.618669999996,46792.6818,12.3%,5.2%,051944
29097,Jasper,MO,Medium,115741,116761,117763,118569,4565580,4578932,4643945,4695255,39446.52284,39216.27941,39434.669630000004,39599.347219999996,0.4%,0.4%,029097
20045,Douglas,KS,Medium,113215,114554,116323,117866,3970883,4152793,4355360,4539802,35073.82414,36251.83756,37441.950430000004,38516.637539999996,9.8%,2.9%,020045
55063,La Crosse,WI,Medium,116531,116839,117404,117669,5645845,5938778,6288444,6801518,48449.29675,50828.73013,53562.43399,57802.1229,19.3%,7.9%,055063
48451,Tom Green,TX,Medium,113318,114722,116401,117598,4458796,4615983,5062778,4950918,39347.64115,40236.24937,43494.2827,42100.35885,7.0%,-3.2%,048451
12119,Sumter,FL,Medium,101698,106942,112334,117210,1722193,1993532,2198713,2312425,16934.384159999998,18641.24479,19572.9966,19728.90538,16.5%,0.8%,012119
09015,Windham,CT,Medium,117996,117631,116844,116496,3919490,3933828,4062075,4158732,33217.14295,33442.10285,34764.943,35698.49609,7.5%,2.7%,09015
05125,Saline,AR,Medium,111360,113276,114781,116304,1840987,1928262,1971956,2122479,16531.85165,17022.68795,17180.160480000002,18249.406730000002,10.4%,6.2%,05125
36045,Jefferson,NY,Medium,121449,119219,119044,116301,6327637,6401660,6420458,6250685,52101.18651,53696.64231,53933.48677999999,53745.75455,3.2%,-0.3%,036045
39169,Wayne,OH,Medium,114976,115282,115776,116055,4435041,4805216,5149229,5051117,38573.62406,41682.274769999996,44475.78946,43523.47594,12.8%,-2.1%,039169
18035,Delaware,IN,Medium,116950,116764,116448,115811,3665888,3755272,3938383,4112507,31345.7717,32161.214069999998,33820.95871,35510.50418,13.3%,5.0%,018035
42081,Lycoming,PA,Medium,117188,116577,116282,115580,5049431,5306993,5718589,5493959,43088.29402,45523.499489999995,49178.6261,47533.82073,10.3%,-3.3%,042081
01015,Calhoun,AL,Medium,117219,116482,115941,115505,4073476,3988587,3943024,3999134,34750.98747,34242.088910000006,34008.88383,34623.03796,-0.4%,1.8%,01015
55117,Sheboygan,WI,Medium,114794,114720,115017,115261,5614449,5766742,5820473,6015744,48908.90639,50267.9742,50605.32791,52192.36342,6.7%,3.1%,055117
18019,Clark,IN,Medium,111870,112697,114066,114927,3905610,3990737,4177023,4211877,34912.04076,35411.20882,36619.35195,36648.28108,5.0%,0.1%,018019
51933,Montgomery + Radford,VA,Medium,112387,113850,114639,114804,3911187,4246228,4572916,5013544,34801.0624,37296.688630000004,39889.70595,43670.464439999996,25.5%,9.5%,051933
13045,Carroll,GA,Medium,111452,112300,113596,114491,3353145,3402585,3423783,3503813,30086.00115,30299.065,30139.99613,30603.392410000004,1.7%,1.5%,013045
48257,Kaufman,TX,Medium,106533,108256,110914,114161,2541012,2655588,2779216,2921466,23851.87688,24530.6311,25057.395819999998,25590.75341,7.3%,2.1%,048257
26005,Allegan,MI,Medium,111448,111946,113290,114085,3647106,3708428,3761781,4096959,32724.732610000003,33126.9362,33204.88128,35911.46075,9.7%,8.2%,026005
22109,Terrebonne,LA,Medium,111720,112684,113512,113928,6261741,6271871,6490227,6453516,56048.523089999995,55658.93117,57176.571639999995,56645.56562,1.1%,-0.9%,022109
30063,Missoula,MT,Medium,111016,111575,112462,113780,4720056,4659608,4732498,5049370,42516.89847,41762.11517,42080.86287,44378.36175,4.4%,5.5%,030063
42085,Mercer,PA,Medium,115641,115170,114777,113746,3879815,3880271,3914487,3995897,33550.51409,33691.681860000004,34105.15173,35130.00018,4.7%,3.0%,042085
13185,Lowndes,GA,Medium,114110,112907,113580,113424,4024413,4197278,4330870,4540681,35267.83805,37174.648160000004,38130.56876,40032.806110000005,13.5%,5.0%,013185
37089,Henderson,NC,Medium,107837,108973,110366,111975,2891130,3232103,3647640,3905286,26810.18574,29659.667989999998,33050.39596,34876.40991,30.1%,5.5%,037089
54003,Berkeley,WV,Medium,106824,108335,110026,111497,2915650,2945493,2953649,2881143,27293.960160000002,27188.74787,26845.009360000004,25840.54279,-5.3%,-3.7%,054003
24037,St. Mary's,MD,Medium,108831,109275,110016,111100,6007989,6276507,6537402,6727895,55204.75784,57437.72135,59422.284029999995,60557.11071,9.7%,1.9%,024037
17099,LaSalle,IL,Medium,112907,112424,111682,111077,5004746,5177257,5478914,5486312,44326.26852,46051.17235,49058.16515,49391.97134,11.4%,0.7%,017099
51921,Frederick + Winchester,VA,Medium,107271,108840,110098,110895,4356770,4308262,4344304,4716310,40614.61159,39583.443589999995,39458.51877,42529.5099,4.7%,7.8%,051921
18091,LaPorte,IN,Medium,111290,111414,111717,110825,3798646,3913992,3977039,3883157,34132.8601,35130.16318,35599.22841,35038.63749,2.7%,-1.6%,018091
36089,St. Lawrence,NY,Medium,112444,112067,111601,110803,2839578,2958512,3028229,3040868,25253.26385,26399.493159999998,27134.42532,27443.913969999998,8.7%,1.1%,036089
17091,Kankakee,IL,Medium,112952,112207,111384,110756,4066623,4066509,4059361,4142811,36003.10751,36241.13469,36444.74072,37404.844880000004,3.9%,2.6%,017091
13113,Fayette,GA,Medium,107400,108129,109320,110286,3210279,3442214,3594069,3749486,29890.86592,31834.32752,32876.591660000006,33997.84197,13.7%,3.4%,013113
16019,Bonneville,ID,Medium,106762,107358,108237,109804,3927849,4095855,4316051,4687404,36790.70268,38151.372039999995,39875.92967,42688.82737,16.0%,7.1%,016019
36069,Ontario,NY,Medium,108631,109117,109420,109431,4550094,5005392,5217795,5804659,41885.77846,45871.789000000004,47685.93493,53044.00947,26.6%,11.2%,036069
26045,Eaton,MI,Medium,107902,108145,108475,108435,3498159,3623308,3838260,4147807,32419.77906,33504.1657,35383.82116,38251.55162,18.0%,8.1%,026045
46103,Pennington,SD,Medium,104182,105934,107543,108107,4865160,4894278,5050193,5320358,46698.661960000005,46201.20075,46959.75563,49213.81594,5.4%,4.8%,046103
04017,Navajo,AZ,Medium,107268,107077,107613,107543,3027709,3095810,3214215,3288295,28225.64977,28911.997910000002,29868.278,30576.56007,8.3%,2.4%,04017
18167,Vigo,IN,Medium,108437,108116,107842,107473,4089053,4211502,4357590,4580198,37709.019980000005,38953.549889999995,40407.16975,42617.19688,13.0%,5.5%,018167
17115,Macon,IL,Medium,110105,109533,108529,107419,6377758,6260576,6487020,6557477,57924.326779999996,57156.98465,59772.22678,61045.78333,5.4%,2.1%,017115
34041,Warren,NJ,Medium,107733,107157,107358,107282,3770597,4060483,3984145,3985418,34999.46163,37892.83948,37110.834780000005,37148.99051,6.1%,0.1%,034041
45085,Sumter,SC,Medium,107908,107784,107702,107276,3457456,3462211,3506738,3611958,32040.77548,32121.752760000003,32559.63678,33669.7677,5.1%,3.4%,045085
41019,Douglas,OR,Medium,106865,106565,106657,107152,2683155,2772955,2855499,3132294,25107.89314,26021.25463,26772.7294,29232.24951,16.4%,9.2%,041019
23001,Androscoggin,ME,Medium,107495,107271,107290,107104,3787310,3891247,4057941,4153655,35232.42942,36274.92053,37822.17355,38781.51143,10.1%,2.5%,023001
21093,Hardin,KY,Medium,108175,108884,108425,106224,5146909,5087840,5009036,5030122,47579.46845,46727.15918,46198.16463,47353.912489999995,-0.5%,2.5%,021093
26017,Bay,MI,Medium,106930,106761,106025,105244,3343898,3479475,3469890,3564419,31271.841389999998,32591.255230000002,32727.092669999998,33868.1445,8.3%,3.5%,026017
13217,Newton,GA,Medium,101000,102088,103508,104958,1831499,1865379,1965836,2198345,18133.653469999997,18272.2651,18992.11655,20944.99705,15.5%,10.3%,013217
12035,Flagler,FL,Medium,98506,99901,102118,104739,1531382,1518968,1673340,1809151,15546.07841,15204.73269,16386.337369999997,17272.94513,11.1%,5.4%,012035
39029,Columbiana,OH,Medium,106585,105908,105557,104632,2412272,2596655,2769678,2811236,22632.37791,24518.02508,26238.69568,26867.84158,18.7%,2.4%,039029
17037,DeKalb,IL,Medium,104312,104129,104648,104407,3350563,3535032,3471128,3574145,32120.59015,33948.58301,33169.5589,34232.81006,6.6%,3.2%,017037
05031,Craighead,AR,Medium,99854,101513,102526,104297,3707662,3902656,4038126,4328798,37130.83101,38444.88883,39386.36053,41504.53033,11.8%,5.4%,05031
36109,Tompkins,NY,Medium,103067,104143,104286,104283,5173541,5410441,5626199,5836211,50195.9017,51952.0371,53949.70562000001,55965.12375,11.5%,3.7%,036109
01069,Houston,AL,Medium,103362,103625,104148,104249,4122576,4268062,4333916,4346441,39884.83195,41187.570569999996,41613.05066,41692.87955,4.5%,0.2%,01069
39003,Allen,OH,Medium,105233,105025,104843,104093,7096465,7032278,7834144,7514075,67435.73784,66958.13377999999,74722.62335,72186.17006,7.0%,-3.4%,039003
13313,Whitfield,GA,Medium,103158,102982,103449,104029,4669362,4847896,5005259,5116499,45264.17728,47075.17819,48383.83165,49183.391169999995,8.7%,1.7%,013313
39109,Miami,OH,Medium,102908,103174,103776,103953,3581224,3697035,3838980,3932126,34800.24877,35833.01025,36992.94635,37825.998289999996,8.7%,2.3%,039109
