FIPS,County,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Total,State,Year
39089,Licking,40978,35543,21131,9657,118584,Ohio,2017
39093,Lorain,66790,73022,33006,17114,212692,Ohio,2017
39095,Lucas,86718,92500,48003,29618,292621,Ohio,2017
39099,Mahoning,66841,46011,25008,12192,164042,Ohio,2017
39101,Marion,19178,15043,4347,3204,46643,Ohio,2017
39103,Medina,38053,39668,26202,13760,124238,Ohio,2017
39109,Miami,29354,21641,10952,6569,73618,Ohio,2017
39113,Montgomery,102812,122926,60511,41573,366020,Ohio,2017
39119,Muskingum,25107,17542,6010,3411,58848,Ohio,2017
39133,Portage,37268,26562,19230,12255,104615,Ohio,2017
39139,Richland,33073,24104,11597,4286,84550,Ohio,2017
39141,Ross,22924,16001,5576,3473,54434,Ohio,2017
39145,Scioto,21014,13350,4408,4449,53141,Ohio,2017
39151,Stark,99137,80117,36783,20602,259924,Ohio,2017
39153,Summit,114899,111792,80064,44910,380675,Ohio,2017
39155,Trumbull,66705,36393,17941,8950,144108,Ohio,2017
39157,Tuscarawas,30690,17093,5563,3269,63972,Ohio,2017
39165,Warren,42260,37301,40441,25110,154438,Ohio,2017
39169,Wayne,29723,19584,10731,6368,76595,Ohio,2017
39173,Wood,25275,25470,15610,10730,81051,Ohio,2017
40017,Canadian,25409,35142,18364,6669,91884,Oklahoma,2017
40027,Cleveland,45170,57779,38543,21376,178227,Oklahoma,2017
40031,Comanche,22367,28984,10600,7839,76203,Oklahoma,2017
40037,Creek,,,,,,Oklahoma,2017
40101,Muskogee,16658,12672,5229,2703,45268,Oklahoma,2017
40109,Oklahoma,133009,152028,107632,60459,514300,Oklahoma,2017
40119,Payne,12801,10115,9625,6135,43023,Oklahoma,2017
40125,Pottawatomie,17596,15780,4926,3593,47954,Oklahoma,2017
40131,Rogers,19886,20930,10466,5366,61496,Oklahoma,2017
40143,Tulsa,105648,140421,90662,44189,424920,Oklahoma,2017
40145,Wagoner,16582,18390,8949,4243,53868,Oklahoma,2017
41003,Benton,7287,16758,15943,13835,55327,Oregon,2017
41005,Clackamas,62012,100477,70271,41682,291445,Oregon,2017
41017,Deschutes,32994,48658,29959,15673,135342,Oregon,2017
41019,Douglas,26812,30959,8769,5182,80775,Oregon,2017
41029,Jackson,39909,56845,27944,15819,154281,Oregon,2017
41033,Josephine,,,,,,Oregon,2017
41035,Klamath,15767,16623,6120,2986,46898,Oregon,2017
41039,Lane,57912,99944,46913,33023,257137,Oregon,2017
41043,Linn,27386,35495,11226,3891,87222,Oregon,2017
41047,Marion,64482,72451,35557,16251,225382,Oregon,2017
41051,Multnomah,106274,168439,160186,106495,587811,Oregon,2017
41053,Polk,11154,19301,9373,6795,52409,Oregon,2017
41059,Umatilla,14303,18044,4919,3701,49992,Oregon,2017
41067,Washington,69073,122113,118371,66653,404077,Oregon,2017
41071,Yamhill,16742,27447,12090,7415,70951,Oregon,2017
42001,Adams,29009,18571,9951,6556,72118,Pennsylvania,2017
42003,Allegheny,238512,230870,210333,155433,884094,Pennsylvania,2017
42005,Armstrong,23372,12397,5096,2289,48197,Pennsylvania,2017
42007,Beaver,48334,37347,19078,9722,121242,Pennsylvania,2017
42011,Berks,104534,72471,44019,23448,282963,Pennsylvania,2017
42013,Blair,37759,24475,13188,5433,88809,Pennsylvania,2017
42017,Bucks,124785,111485,108643,77022,448774,Pennsylvania,2017
42019,Butler,42457,35211,31664,16542,132893,Pennsylvania,2017
42021,Cambria,42688,23764,13073,7172,95164,Pennsylvania,2017
42025,Carbon,,,,,,Pennsylvania,2017
42027,Centre,27528,19791,23959,20741,98303,Pennsylvania,2017
42029,Chester,78569,66650,109477,75552,353899,Pennsylvania,2017
42033,Clearfield,28386,12895,7075,3117,59076,Pennsylvania,2017
42037,Columbia,,,,,,Pennsylvania,2017
42039,Crawford,28763,11884,8853,4106,60553,Pennsylvania,2017
42041,Cumberland,53737,43026,37260,28169,175140,Pennsylvania,2017
42043,Dauphin,70381,48219,33258,22539,191345,Pennsylvania,2017
42045,Delaware,114718,90279,86594,68063,383800,Pennsylvania,2017
42049,Erie,71942,47312,32628,18163,187649,Pennsylvania,2017
42051,Fayette,45231,22603,12661,4788,96474,Pennsylvania,2017
42055,Franklin,44609,25601,14342,11377,108529,Pennsylvania,2017
42063,Indiana,23393,13076,7998,5426,55222,Pennsylvania,2017
42069,Lackawanna,55500,37664,27390,15848,148344,Pennsylvania,2017
42071,Lancaster,128387,77869,63410,38926,364909,Pennsylvania,2017
42073,Lawrence,,,,,,Pennsylvania,2017
42075,Lebanon,41395,22238,13840,7424,95764,Pennsylvania,2017
42077,Lehigh,81453,64965,44298,28956,248992,Pennsylvania,2017
42079,Luzerne,87470,60726,34880,19375,227239,Pennsylvania,2017
42081,Lycoming,31279,23054,13030,6319,80315,Pennsylvania,2017
42085,Mercer,34324,18357,12976,6282,79064,Pennsylvania,2017
42089,Monroe,38203,36675,17336,10858,116911,Pennsylvania,2017
42091,Montgomery,135739,123135,162775,128524,580456,Pennsylvania,2017
42095,Northampton,74463,54904,40172,23498,212826,Pennsylvania,2017
42097,Northumberland,34687,13254,7873,2839,67075,Pennsylvania,2017
42101,Philadelphia,384070,228729,176732,128117,1075853,Pennsylvania,2017
42107,Schuylkill,48347,27659,12468,4950,104560,Pennsylvania,2017
42111,Somerset,,,,,,Pennsylvania,2017
42125,Washington,54955,37634,30381,16236,148873,Pennsylvania,2017
42129,Westmoreland,93759,72911,51308,28321,261007,Pennsylvania,2017
42133,York,119750,80357,50969,27545,310781,Pennsylvania,2017
44003,Kent,32713,36533,25771,14721,120853,Rhode Island,2017
44005,Newport,,,,,,Rhode Island,2017
44007,Providence,146232,101179,77636,47369,435612,Rhode Island,2017
44009,Washington,20014,23771,21776,15355,85775,Rhode Island,2017
45003,Aiken,40379,32012,20160,11219,118618,South Carolina,2017
45007,Anderson,44968,41330,18928,9453,136504,South Carolina,2017
45013,Beaufort,30182,37190,31295,23293,132688,South Carolina,2017
45015,Berkeley,42182,50833,23589,12571,145644,South Carolina,2017
45019,Charleston,71911,70454,77105,44276,285858,South Carolina,2017
45031,Darlington,,,,,,South Carolina,2017
45035,Dorchester,28337,36246,20688,10956,105822,South Carolina,2017
45041,Florence,28756,24734,14444,8409,93308,South Carolina,2017
45045,Greenville,82091,103129,72138,46732,344948,South Carolina,2017
45047,Greenwood,,,,,,South Carolina,2017
45051,Horry,85667,81775,37121,18770,246389,South Carolina,2017
45055,Kershaw,,,,,,South Carolina,2017
45057,Lancaster,19975,18146,12071,6057,66570,South Carolina,2017
45059,Laurens,16511,13483,4553,2666,46198,South Carolina,2017
45063,Lexington,59997,57824,39368,21326,200145,South Carolina,2017
45073,Oconee,,,,,,South Carolina,2017
45075,Orangeburg,,,,,,South Carolina,2017
45077,Pickens,19943,26628,10727,8222,77709,South Carolina,2017
45079,Richland,61487,77231,57461,39380,258643,South Carolina,2017
45083,Spartanburg,58980,68914,32396,19669,207051,South Carolina,2017
45085,Sumter,23530,22905,9027,4896,71105,South Carolina,2017
45091,York,43449,55321,41159,20275,177532,South Carolina,2017
46099,Minnehaha,34946,42855,26474,12563,124138,South Dakota,2017
46103,Pennington,20672,27169,13624,8828,75516,South Dakota,2017
47001,Anderson,18661,15432,6782,5929,54085,Tennessee,2017
47009,Blount,33436,28194,13484,8114,93543,Tennessee,2017
47011,Bradley,24363,22192,8761,6908,71960,Tennessee,2017
47037,Davidson,106075,126009,129205,70079,477260,Tennessee,2017
47059,Greene,,,,,,Tennessee,2017
47065,Hamilton,74672,76576,55255,27723,255297,Tennessee,2017
47093,Knox,77970,90265,69754,45771,309359,Tennessee,2017
47113,Madison,23651,16103,9586,7006,64159,Tennessee,2017
47119,Maury,24440,16699,10383,4536,62355,Tennessee,2017
47125,Montgomery,32049,46955,21700,13073,123869,Tennessee,2017
47141,Putnam,18695,12587,6900,4865,49831,Tennessee,2017
47147,Robertson,,,,,,Tennessee,2017
47149,Rutherford,52025,60002,49337,19826,199945,Tennessee,2017
47155,Sevier,25811,21953,7861,3507,69189,Tennessee,2017
47157,Shelby,170387,180761,113316,81731,614274,Tennessee,2017
47163,Sullivan,40282,30959,16865,10381,114943,Tennessee,2017
47165,Sumner,37163,41290,23788,11659,126117,Tennessee,2017
47179,Washington,25609,24841,16850,12262,88485,Tennessee,2017
47187,Williamson,19962,32018,53174,35251,147247,Tennessee,2017
47189,Wilson,27641,29518,21665,8105,93608,Tennessee,2017
48005,Angelina,,,,,,Texas,2017
48021,Bastrop,,,,,,Texas,2017
48027,Bell,52164,84500,37082,19575,210326,Texas,2017
48029,Bexar,322164,388922,218312,128966,1249712,Texas,2017
48037,Bowie,,,,,,Texas,2017
48039,Brazoria,54362,78082,48297,28261,236616,Texas,2017
48041,Brazos,22849,30607,26793,21367,117763,Texas,2017
48061,Cameron,65046,56235,31918,13068,248391,Texas,2017
48085,Collin,92895,173136,211777,118410,635534,Texas,2017
