FIPS,County,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Total,State,Year
27013,Blue,10872,12539,8641,4114,38076,Minnesota,2012
27019,Carver,12971,17609,18650,7479,59992,Minnesota,2012
27037,Dakota,58194,93310,75188,30743,271925,Minnesota,2012
27053,Hennepin,147072,222575,245622,132531,807164,Minnesota,2012
27109,Olmsted,20925,32675,24558,14690,98846,Minnesota,2012
27123,Ramsey,77198,96530,80611,53376,339301,Minnesota,2012
27137,St.,40987,50093,24920,11809,135979,Minnesota,2012
27139,Scott,19420,27845,26406,8652,86914,Minnesota,2012
27141,Sherburne,,,,,,Minnesota,2012
27145,Stearns,28745,33622,15921,8176,94570,Minnesota,2012
27163,Washington,34418,53476,45386,23666,163400,Minnesota,2012
27171,Wright,25005,30288,17023,4345,81420,Minnesota,2012
28033,DeSoto,31373,40890,15546,7663,106647,Mississippi,2012
28035,Forrest,,,,,,Mississippi,2012
28047,Harrison,38146,46122,15578,10699,126002,Mississippi,2012
28049,Hinds,37705,54310,23347,17058,154179,Mississippi,2012
28059,Jackson,,,,,,Mississippi,2012
28067,Jones,,,,,,Mississippi,2012
28075,Lauderdale,15748,19277,6596,3206,52142,Mississippi,2012
28081,Lee,15986,17232,7693,4594,54929,Mississippi,2012
28089,Madison,10472,15781,17651,13009,63190,Mississippi,2012
28121,Rankin,30474,26888,19406,11385,98074,Mississippi,2012
29019,Boone,18636,25642,27003,20679,96974,Missouri,2012
29021,Buchanan,19720,16461,9117,3488,58522,Missouri,2012
29031,Cape,16802,13496,9603,4655,49518,Missouri,2012
29037,Cass,25026,20520,10100,5843,66845,Missouri,2012
29043,Christian,16268,17679,9702,3442,52304,Missouri,2012
29047,Clay,42661,48402,32191,15901,151879,Missouri,2012
29051,Cole,,,,,,Missouri,2012
29071,Franklin,,,,,,Missouri,2012
29077,Greene,49512,63534,35557,15862,183690,Missouri,2012
29095,Jackson,138172,141826,78700,45702,451586,Missouri,2012
