FIPS,County,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Total,State,Year
12119,Sumter,32508,30623,21538,13370,105817,Florida,2015
12127,Volusia,129175,130281,59187,26893,382433,Florida,2015
13013,Barrow,,,,,,Georgia,2015
13015,Bartow,,,,,,Georgia,2015
13021,Bibb,32057,28159,14947,10210,99505,Georgia,2015
13031,Bulloch,9907,13494,5362,5789,39261,Georgia,2015
13045,Carroll,24716,21027,9018,5504,71676,Georgia,2015
13047,Catoosa,,,,,,Georgia,2015
13051,Chatham,46001,63480,38356,22454,189564,Georgia,2015
13057,Cherokee,36705,45844,40354,20131,156090,Georgia,2015
13059,Clarke,12402,14205,15418,14188,66094,Georgia,2015
13063,Clayton,56506,54438,21174,11119,169140,Georgia,2015
13067,Cobb,93576,128306,145021,77138,491820,Georgia,2015
13073,Columbia,20781,31720,22076,11170,93923,Georgia,2015
13077,Coweta,28793,27310,17385,9167,91374,Georgia,2015
13089,DeKalb,100211,125810,121469,87622,495433,Georgia,2015
13095,Dougherty,18604,16727,7457,4782,57988,Georgia,2015
13097,Douglas,26040,25767,17894,10501,89945,Georgia,2015
13113,Fayette,15738,19778,24477,10436,74720,Georgia,2015
13115,Floyd,21060,17940,7065,4870,64448,Georgia,2015
13117,Forsyth,21327,39034,43448,22554,136817,Georgia,2015
13121,Fulton,126171,155332,199734,136161,673365,Georgia,2015
13127,Glynn,16154,18489,10042,6766,58250,Georgia,2015
13135,Gwinnett,134625,158465,131970,68235,565938,Georgia,2015
13139,Hall,34511,36281,17870,10514,125214,Georgia,2015
13151,Henry,41744,43259,25909,13188,137850,Georgia,2015
13153,Houston,26679,40876,11787,8873,97723,Georgia,2015
13179,Liberty,11744,13956,4392,1784,35448,Georgia,2015
13185,Lowndes,18799,21218,9359,5637,66644,Georgia,2015
13215,Muscogee,37927,42512,18707,12909,129080,Georgia,2015
13217,Newton,20543,23996,9300,4258,67525,Georgia,2015
13223,Paulding,33629,30299,13978,8125,96469,Georgia,2015
13245,Richmond,38731,42446,16521,11325,131332,Georgia,2015
13247,Rockdale,19622,15796,10067,4443,57242,Georgia,2015
13285,Troup,,,,,,Georgia,2015
13295,Walker,16665,13733,4487,2611,47186,Georgia,2015
13297,Walton,22296,16953,7997,3344,58260,Georgia,2015
13313,Whitfield,18527,17374,6544,2777,66421,Georgia,2015
15001,Hawaii,40517,45736,26620,12870,137573,Hawaii,2015
15003,Honolulu,175848,214974,148891,77402,681195,Hawaii,2015
15007,Kauai,15235,17987,9423,4561,50845,Hawaii,2015
15009,Maui,35923,40379,20092,9328,116168,Hawaii,2015
16001,Ada,61354,104416,72855,34732,288651,Idaho,2015
16005,Bannock,13975,21364,8864,3803,52113,Idaho,2015
16019,Bonneville,17804,22110,13722,6257,66341,Idaho,2015
16027,Canyon,44447,41524,15028,6389,126548,Idaho,2015
16055,Kootenai,28130,42414,15782,8205,103211,Idaho,2015
16083,Twin,14031,21962,6149,3273,52277,Idaho,2015
17001,Adams,17866,15445,5771,3824,45932,Illinois,2015
17019,Champaign,27115,32324,26409,28607,119843,Illinois,2015
17031,Cook,854288,922579,790748,515549,3575873,Illinois,2015
17037,DeKalb,15006,22142,11528,7284,60669,Illinois,2015
17043,DuPage,118962,174445,172558,117994,633070,Illinois,2015
17089,Kane,76613,99725,68417,38023,341096,Illinois,2015
17091,Kankakee,24572,23277,9542,5608,72783,Illinois,2015
17093,Kendall,,,,,,Illinois,2015
17097,Lake,97390,111951,118173,83259,454679,Illinois,2015
17099,LaSalle,27625,28839,8460,4485,78430,Illinois,2015
17111,McHenry,57205,67168,44588,22566,205031,Illinois,2015
17113,McLean,27625,23704,31368,16991,104171,Illinois,2015
17115,Macon,25219,23008,11873,5268,73158,Illinois,2015
17119,Madison,61084,64588,28597,17461,185255,Illinois,2015
17143,Peoria,33641,41016,22533,14734,124518,Illinois,2015
17161,Rock,31657,33759,14473,8034,99788,Illinois,2015
17163,St.,48725,63977,29036,18355,178240,Illinois,2015
17167,Sangamon,36732,41310,30317,16634,136090,Illinois,2015
17179,Tazewell,30436,32376,16133,7574,93845,Illinois,2015
17183,Vermilion,22032,18053,4723,2301,53843,Illinois,2015
17197,Will,125113,128624,97193,50984,444555,Illinois,2015
17199,Williamson,,,,,,Illinois,2015
17201,Winnebago,62939,63461,28472,15125,194508,Illinois,2015
18003,Allen,68116,77032,44035,22761,237480,Indiana,2015
18005,Bartholomew,18283,15620,9944,6228,54548,Indiana,2015
18019,Clark,27622,26509,12867,4453,79500,Indiana,2015
18035,Delaware,26012,21474,10226,6109,70810,Indiana,2015
18039,Elkhart,44797,34111,14861,8556,127871,Indiana,2015
18043,Floyd,15535,16626,8659,6230,52201,Indiana,2015
18053,Grant,,,,,,Indiana,2015
18057,Hamilton,32849,46749,71657,39926,199469,Indiana,2015
18059,Hancock,,,,,,Indiana,2015
18063,Hendricks,28191,30466,27868,11117,103812,Indiana,2015
18067,Howard,,,,,,Indiana,2015
18081,Johnson,32795,26583,22693,8984,98950,Indiana,2015
18085,Kosciusko,19031,14522,6998,3660,51872,Indiana,2015
18089,Lake,113895,101598,48176,22639,326085,Indiana,2015
18091,LaPorte,29384,24298,8418,5183,77191,Indiana,2015
18095,Madison,35548,26422,11077,5375,89422,Indiana,2015
18097,Marion,169228,172509,117946,61927,615123,Indiana,2015
18105,Monroe,17009,20974,20004,17389,81203,Indiana,2015
18109,Morgan,,,,,,Indiana,2015
18127,Porter,39517,33603,18629,12190,112978,Indiana,2015
18141,St.,54193,48490,29848,18414,173881,Indiana,2015
18157,Tippecanoe,26418,29779,19148,16664,101714,Indiana,2015
18163,Vanderburgh,43743,36218,19482,10874,122713,Indiana,2015
18167,Vigo,20679,20438,10255,7275,68409,Indiana,2015
18177,Wayne,,,,,,Indiana,2015
19013,Black,25247,26812,15594,9009,84231,Iowa,2015
19049,Dallas,10423,14608,16213,7794,51967,Iowa,2015
19061,Dubuque,20635,18372,13488,6450,64517,Iowa,2015
19103,Johnson,17968,22585,22232,17715,84730,Iowa,2015
19113,Linn,43075,53121,30086,13145,147148,Iowa,2015
19153,Polk,78175,94614,75126,32444,307822,Iowa,2015
19155,Pottawattamie,20993,21112,9469,3780,63153,Iowa,2015
19163,Scott,35370,36379,21455,14209,116322,Iowa,2015
19169,Story,8331,13999,13666,11668,49115,Iowa,2015
19193,Woodbury,23084,19012,10556,3668,65094,Iowa,2015
20015,Butler,10854,17306,8088,4345,43829,Kansas,2015
20045,Douglas,13961,17197,16688,15060,67537,Kansas,2015
20091,Johnson,60269,98576,136152,79039,388301,Kansas,2015
20103,Leavenworth,14665,17988,9331,5732,53089,Kansas,2015
20161,Riley,7383,12286,9304,6436,37098,Kansas,2015
20173,Sedgwick,91258,108690,57757,33021,328110,Kansas,2015
20177,Shawnee,34993,37438,23527,12676,119391,Kansas,2015
20209,Wyandotte,34692,28378,11133,5222,102070,Kansas,2015
21015,Boone,22812,27404,17738,8656,83047,Kentucky,2015
21029,Bullitt,,,,,,Kentucky,2015
21037,Campbell,18281,15813,12756,7342,62300,Kentucky,2015
21047,Christian,13491,14966,3738,3499,41659,Kentucky,2015
21059,Daviess,23790,21031,8272,5881,66472,Kentucky,2015
21067,Fayette,41446,56991,46002,38472,203167,Kentucky,2015
21093,Hardin,20708,25087,8342,7207,69828,Kentucky,2015
21111,Jefferson,142994,155018,105048,71225,524924,Kentucky,2015
21117,Kenton,34611,33235,19149,11786,111443,Kentucky,2015
21145,McCracken,,,,,,Kentucky,2015
21151,Madison,14833,14982,9187,6218,54045,Kentucky,2015
21195,Pike,,,,,,Kentucky,2015
21227,Warren,20845,21736,14582,8515,75515,Kentucky,2015
22005,Ascension,,,,,,Louisiana,2015
22015,Bossier,24122,29482,12410,7070,82132,Louisiana,2015
22017,Caddo,57418,48647,25385,14429,167186,Louisiana,2015
22019,Calcasieu,44854,38759,19265,9552,130965,Louisiana,2015
22033,East,78527,80951,60918,35766,279850,Louisiana,2015
22045,Iberia,,,,,,Louisiana,2015
01003,Baldwin,45574,42545,30163,12237,143738,Alabama,2015
01015,Calhoun,23578,27141,7585,5976,78387,Alabama,2015
01043,Cullman,,,,,,Alabama,2015
01049,DeKalb,,,,,,Alabama,2015
01051,Elmore,,,,,,Alabama,2015
01055,Etowah,22464,25135,7787,4588,71551,Alabama,2015
01069,Houston,22794,23788,9046,6147,71431,Alabama,2015
01073,Jefferson,117780,140846,87278,54620,449424,Alabama,2015
01077,Lauderdale,21307,18074,8559,6297,63258,Alabama,2015
01081,Lee,21624,31058,18834,12749,92177,Alabama,2015
01083,Limestone,19758,17117,9714,6667,63202,Alabama,2015
01089,Madison,53324,66638,62494,36770,240035,Alabama,2015
01095,Marshall,18350,21219,6496,4196,63824,Alabama,2015
01097,Mobile,89842,81709,45416,19832,277665,Alabama,2015
01101,Montgomery,37535,42543,29246,17686,148631,Alabama,2015
01103,Morgan,22899,26895,12763,5573,82551,Alabama,2015
01115,St.,,,,,,Alabama,2015
01117,Shelby,30628,41628,39713,17311,141017,Alabama,2015
01121,Talladega,,,,,,Alabama,2015
01125,Tuscaloosa,37619,32081,25056,13816,125421,Alabama,2015
01127,Walker,,,,,,Alabama,2015
02020,Anchorage,45726,65764,41798,25847,190006,Alaska,2015
02090,Fairbanks,11616,24558,13486,7028,59492,Alaska,2015
02170,Matanuska-Susitna,20428,24863,8235,4578,63447,Alaska,2015
04001,Apache,,,,,,Arizona,2015
04003,Cochise,20686,38685,11196,6460,89293,Arizona,2015
04005,Coconino,17869,27498,13804,12785,80427,Arizona,2015
04013,Maricopa,632157,906644,539022,301335,2742502,Arizona,2015
04015,Mohave,59834,53422,11810,6556,153740,Arizona,2015
04017,Navajo,21913,24745,6105,4629,68489,Arizona,2015
04019,Pima,153272,222830,120656,87298,668691,Arizona,2015
04021,Pinal,79800,105104,31291,17365,278655,Arizona,2015
04025,Yavapai,42265,65751,27509,17337,169500,Arizona,2015
04027,Yuma,30530,40531,12728,7082,128566,Arizona,2015
05007,Benton,48150,40773,34928,18092,162146,Arkansas,2015
05031,Craighead,22071,20749,10623,5929,66273,Arkansas,2015
05045,Faulkner,20539,24624,14153,9305,74421,Arkansas,2015
05051,Garland,22093,25284,8118,5369,69624,Arkansas,2015
05069,Jefferson,,,,,,Arkansas,2015
05085,Lonoke,,,,,,Arkansas,2015
05119,Pulaski,65229,79441,56591,33147,264419,Arkansas,2015
05125,Saline,26928,25050,12291,7861,80507,Arkansas,2015
05131,Sebastian,25851,27190,11781,4128,84889,Arkansas,2015
05143,Washington,36416,35208,27621,16140,135521,Arkansas,2015
05145,White,,,,,,Arkansas,2015
06001,Alameda,207825,278310,299391,217724,1145989,California,2015
06007,Butte,30850,57774,29188,11377,146064,California,2015
06013,Contra,137662,236923,194193,115141,769664,California,2015
06017,El,29712,49801,27607,16247,132110,California,2015
06019,Fresno,138164,187697,75789,37701,590620,California,2015
06023,Humboldt,20210,35249,15653,9010,90540,California,2015
06025,Imperial,23264,33910,10173,5487,109306,California,2015
06029,Kern,153819,148123,57137,28353,528165,California,2015
06031,Kings,22123,30324,10273,4663,92734,California,2015
06033,Lake,,,,,,California,2015
06037,Los,1453271,1784430,1382575,731271,6852650,California,2015
06039,Madera,25581,30156,10734,4210,97105,California,2015
06041,Marin,20734,43133,65441,47177,191099,California,2015
06045,Mendocino,16903,21031,11172,5568,62101,California,2015
06047,Merced,38417,45208,14641,7844,155645,California,2015
06053,Monterey,53452,71787,40275,23494,273998,California,2015
06055,Napa,17658,33397,21600,10764,98697,California,2015
06057,Nevada,15831,28946,16494,8933,74927,California,2015
06059,Orange,370756,603033,538334,293604,2146420,California,2015
06061,Placer,50279,97093,65707,30765,261189,California,2015
06065,Riverside,403935,494410,199704,112656,1506481,California,2015
06067,Sacramento,224560,351604,200616,95739,1000997,California,2015
06071,San,353060,433554,165281,91370,1322402,California,2015
06073,San,416810,675786,501923,319496,2209465,California,2015
06075,San,87434,134438,227064,150105,683821,California,2015
06077,San,119955,148527,57597,27681,452979,California,2015
06079,San,38403,66808,39804,24010,187193,California,2015
06081,San,83181,139632,149916,107035,545516,California,2015
06083,Santa,48687,79551,54906,36084,273982,California,2015
06085,Santa,194028,303380,346350,304596,1315014,California,2015
06087,Santa,27569,56083,40200,25934,178043,California,2015
06089,Shasta,32157,54515,18123,9782,126950,California,2015
06095,Solano,72595,110365,54767,21215,295732,California,2015
06097,Sonoma,68387,124996,73795,43250,356680,California,2015
06099,Stanislaus,96626,109235,36954,18782,338947,California,2015
06101,Sutter,15115,22084,6487,3620,62179,California,2015
06107,Tulare,64964,81896,27041,10914,267457,California,2015
06111,Ventura,103764,179472,117648,66985,564044,California,2015
06113,Yolo,22579,34010,27563,25769,125505,California,2015
06115,Yuba,10729,21591,4606,1853,46896,California,2015
08001,Adams,86171,98813,49063,22129,312281,Colorado,2015
08005,Arapahoe,86958,133297,111725,62025,423411,Colorado,2015
08013,Boulder,26844,43268,69676,55183,206135,Colorado,2015
08014,Broomfield,6719,11658,15436,9776,44959,Colorado,2015
08031,Denver,79629,107610,138565,89360,483833,Colorado,2015
08035,Douglas,26224,61873,76105,41248,209300,Colorado,2015
08041,El,93574,155939,97132,59425,429737,Colorado,2015
08059,Jefferson,88016,117709,109630,64145,402171,Colorado,2015
08069,Larimer,43576,64298,60222,40117,217339,Colorado,2015
08077,Mesa,25906,34610,20676,9600,99999,Colorado,2015
08101,Pueblo,31871,40693,15842,8044,110570,Colorado,2015
08123,Weld,47981,62338,31679,15102,180362,Colorado,2015
09001,Fairfield,149055,131981,167323,129326,641084,Connecticut,2015
09003,Hartford,168085,154360,131824,100215,620970,Connecticut,2015
09005,Litchfield,40956,37868,25433,19846,134989,Connecticut,2015
09007,Middlesex,31642,30111,26726,20829,117835,Connecticut,2015
09009,New,180605,147845,113143,90682,594403,Connecticut,2015
09011,New,58447,51321,35537,27746,189272,Connecticut,2015
09013,Tolland,24387,26372,23730,15847,95512,Connecticut,2015
09015,Windham,25739,25632,12217,7620,80653,Connecticut,2015
