FIPS,County,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Total,State,Year
12103,Pinellas,206961,243061,141216,74414,735561,Florida,2016
12105,Polk,165401,130424,61445,31310,461083,Florida,2016
12107,Putnam,,,,,,Florida,2016
12109,St.,35736,52134,45345,25807,166186,Florida,2016
12111,St.,73041,70865,30503,14643,218832,Florida,2016
12113,Santa,31497,43250,21101,11886,119962,Florida,2016
12115,Sarasota,99454,95597,66311,43942,328503,Florida,2016
12117,Seminole,68705,114724,77148,41357,320502,Florida,2016
12119,Sumter,35180,32938,16704,14862,108728,Florida,2016
12127,Volusia,122815,134522,61614,32773,392036,Florida,2016
12131,Walton,12158,15793,9337,4128,47812,Florida,2016
13013,Barrow,17219,15746,5625,3651,50599,Georgia,2016
13015,Bartow,23540,20766,9575,3979,69782,Georgia,2016
13021,Bibb,29533,28267,14785,10822,99061,Georgia,2016
13031,Bulloch,,,,,,Georgia,2016
13045,Carroll,22986,21550,9631,5822,72598,Georgia,2016
13047,Catoosa,,,,,,Georgia,2016
13051,Chatham,45036,65263,40282,21355,193126,Georgia,2016
13057,Cherokee,35214,50180,43122,17950,161757,Georgia,2016
13059,Clarke,14696,17598,12415,15676,68541,Georgia,2016
13063,Clayton,55868,55567,23713,11716,172693,Georgia,2016
13067,Cobb,90843,130974,147888,84406,498306,Georgia,2016
13073,Columbia,26000,30392,20336,14308,96831,Georgia,2016
13077,Coweta,28082,27749,18886,8125,93478,Georgia,2016
13089,DeKalb,104011,124396,123236,93583,499806,Georgia,2016
13095,Dougherty,16770,19574,7136,5047,57249,Georgia,2016
13097,Douglas,28924,27918,15785,8976,91716,Georgia,2016
13113,Fayette,15439,20196,22544,14665,76341,Georgia,2016
13115,Floyd,19853,17558,8780,6646,63782,Georgia,2016
13117,Forsyth,23691,35513,48358,23381,142799,Georgia,2016
13121,Fulton,125877,154622,207502,144993,687737,Georgia,2016
13127,Glynn,15176,18179,10763,5297,58184,Georgia,2016
13135,Gwinnett,132550,172483,130744,68719,575081,Georgia,2016
13139,Hall,37581,33288,16839,10565,127397,Georgia,2016
13151,Henry,39676,46471,24267,17348,143597,Georgia,2016
13153,Houston,22647,37813,17008,13107,100776,Georgia,2016
13179,Liberty,10858,14763,4425,1884,35357,Georgia,2016
13185,Lowndes,23796,18742,9367,6969,67466,Georgia,2016
13215,Muscogee,33963,43371,20681,14398,127871,Georgia,2016
13217,Newton,20870,22271,7250,4215,67161,Georgia,2016
13223,Paulding,33021,32812,16220,7139,98550,Georgia,2016
13245,Richmond,40910,40681,17840,11229,131589,Georgia,2016
13247,Rockdale,,,,,,Georgia,2016
13285,Troup,,,,,,Georgia,2016
13295,Walker,15723,13766,5423,2509,47666,Georgia,2016
13297,Walton,,,,,,Georgia,2016
13313,Whitfield,18114,18613,5543,2690,65693,Georgia,2016
15001,Hawaii,46005,45084,26795,11779,139834,Hawaii,2016
