FIPS,County,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Total,State,Year
44005,Newport,11420,14068,16578,14723,61616,Rhode Island,2018
44009,Washington,19766,21277,23157,18154,87230,Rhode Island,2018
45073,Oconee,15646,17493,9062,5597,56382,South Carolina,2018
48187,Guadalupe,34829,31801,19914,9797,107894,Texas,2018
53061,Snohomish,133029,204426,125602,60282,567618,Washington,2018
72113,Ponce,,,,,,Puerto Rico,2018
06085,Santa,184686,293946,383232,342615,1349769,California,2018
06099,Stanislaus,107960,113904,39921,18053,348796,California,2018
12099,Palm,265487,297962,247498,154919,1090260,Florida,2018
13117,Forsyth,26129,34887,52519,31637,154377,Georgia,2018
20173,Sedgwick,85703,107309,65348,40647,334230,Kansas,2018
26005,Allegan,28001,25496,11268,7379,80051,Michigan,2018
26081,Kent,104826,135758,104876,53481,434090,Michigan,2018
29189,St.,143604,200596,172199,132165,692991,Missouri,2018
34007,Camden,100165,97254,67763,43294,350674,New Jersey,2018
35035,Otero,12836,15793,5822,3368,44690,New Mexico,2018
37171,Surry,,,,,,North Carolina,2018
47149,Rutherford,56714,69065,44250,17749,204884,Tennessee,2018
48183,Gregg,23968,27834,10599,6089,80060,Texas,2018
48347,Nacogdoches,,,,,,Texas,2018
51069,Frederick,19322,17786,9331,8341,61130,Virginia,2018
55089,Ozaukee,12398,17890,17992,12592,62738,Wisconsin,2018
55133,Waukesha,62897,80595,83932,45838,284512,Wisconsin,2018
04021,Pinal,90547,116102,37962,22782,309013,Arizona,2018
06045,Mendocino,,,,,,California,2018
06059,Orange,376454,612379,579012,321527,2194598,California,2018
12053,Hernando,48446,49242,17061,8415,143126,Florida,2018
12115,Sarasota,97386,102475,70580,49488,341851,Florida,2018
12119,Sumter,34205,36024,19542,16253,115853,Florida,2018
29183,St.,66808,85267,67001,41422,272809,Missouri,2018
29187,St.,17989,15668,3581,3933,47504,Missouri,2018
36059,Nassau,217135,209597,238914,199873,947754,New York,2018
36071,Orange,71284,73297,44179,30659,245240,New York,2018
37133,Onslow,31625,39354,17464,7900,106570,North Carolina,2018
