FIPS,County,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Total,State,Year
0500000US23019,Penobscot,34964,34501,17928,8960,107218,Maine,2014
0500000US23031,York,47633,44810,28380,12948,145374,Maine,2014
0500000US24001,Allegany,22070,14024,4206,4753,50990,Maryland,2014
0500000US24003,Anne,95685,107250,91435,56870,382220,Maryland,2014
0500000US24005,Baltimore,158116,145219,122997,88996,570350,Maryland,2014
0500000US24009,Calvert,18796,20306,10010,7451,61369,Maryland,2014
0500000US24013,Carroll,36152,32111,24211,13292,114866,Maryland,2014
0500000US24015,Cecil,29428,18064,8299,5543,69662,Maryland,2014
0500000US24017,Charles,32200,34502,17529,10694,101662,Maryland,2014
0500000US24021,Frederick,39214,47415,38896,26930,164841,Maryland,2014
0500000US24025,Harford,46809,55179,35032,22769,170935,Maryland,2014
0500000US24027,Howard,30713,43150,61065,63341,207600,Maryland,2014
0500000US24031,Montgomery,92814,136377,189721,223706,707146,Maryland,2014
0500000US24033,Prince,157527,170961,109258,77528,602567,Maryland,2014
0500000US24037,St.,23140,22683,10852,10166,72686,Maryland,2014
0500000US24043,Washington,39001,29955,12490,8422,103483,Maryland,2014
0500000US24045,Wicomico,20612,18134,9867,8376,62981,Maryland,2014
0500000US24510,Baltimore,133996,95956,65113,61972,423249,Maryland,2014
0500000US25001,Barnstable,37929,47972,41287,31904,165103,Massachusetts,2014
0500000US25003,Berkshire,29018,26395,16002,12845,92753,Massachusetts,2014
0500000US25005,Bristol,118699,99038,63624,35103,383521,Massachusetts,2014
0500000US25009,Essex,131555,133220,122465,82866,527425,Massachusetts,2014
0500000US25011,Franklin,14095,15076,9298,9527,52477,Massachusetts,2014
0500000US25013,Hampden,88044,88620,48683,37149,311505,Massachusetts,2014
0500000US25015,Hampshire,23731,25698,21073,20860,98718,Massachusetts,2014
0500000US25017,Middlesex,227660,209562,291388,281672,1094885,Massachusetts,2014
0500000US25021,Norfolk,98454,104710,138784,110975,481301,Massachusetts,2014
0500000US25023,Plymouth,100413,102947,74655,44356,349464,Massachusetts,2014
0500000US25025,Suffolk,120189,97356,122477,98735,523125,Massachusetts,2014
