FIPS,County,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Total,State,Year
21195,Pike,,,,,,Kentucky,2013
21227,Warren,24246,18306,13381,9058,73586,Kentucky,2013
22005,Ascension,,,,,,Louisiana,2013
22015,Bossier,20154,25567,15640,8238,79741,Louisiana,2013
22017,Caddo,56168,48533,28034,12498,167814,Louisiana,2013
22019,Calcasieu,41314,39336,17259,8705,126961,Louisiana,2013
22033,East,72208,82591,61530,33943,278397,Louisiana,2013
22045,Iberia,,,,,,Louisiana,2013
22051,Jefferson,92791,89827,48540,24279,302511,Louisiana,2013
22055,Lafayette,39388,43942,30792,14773,149554,Louisiana,2013
22057,Lafourche,26014,11642,5800,3026,64154,Louisiana,2013
22063,Livingston,,,,,,Louisiana,2013
22071,Orleans,60964,66551,52205,41552,260256,Louisiana,2013
22073,Ouachita,33776,28150,15274,7750,98913,Louisiana,2013
22079,Rapides,,,,,,Louisiana,2013
22097,St.,,,,,,Louisiana,2013
22103,St.,42095,51970,31106,17234,163275,Louisiana,2013
22105,Tangipahoa,27642,20132,11203,4215,79809,Louisiana,2013
22109,Terrebonne,30463,16815,7028,2266,73108,Louisiana,2013
23001,Androscoggin,27965,23711,9243,4327,74205,Maine,2013
23003,Aroostook,19722,16941,6425,2387,51094,Maine,2013
23005,Cumberland,49185,58974,52422,29345,202478,Maine,2013
23011,Kennebec,31215,26368,13051,8225,86870,Maine,2013
23019,Penobscot,38718,32489,15289,9931,106755,Maine,2013
23031,York,45739,45151,28280,14659,143986,Maine,2013
24001,Allegany,,,,,,Maryland,2013
24003,Anne,94172,110949,80969,59806,378611,Maryland,2013
24005,Baltimore,152666,158050,116251,86516,566661,Maryland,2013
24009,Calvert,18768,20228,10582,6242,59775,Maryland,2013
24013,Carroll,34391,33097,21508,15321,114015,Maryland,2013
24015,Cecil,21868,21616,11416,6075,68362,Maryland,2013
24017,Charles,32486,31834,17695,9842,100226,Maryland,2013
24021,Frederick,40008,43196,41543,24645,160721,Maryland,2013
24025,Harford,48824,50884,33936,23333,169939,Maryland,2013
24027,Howard,29932,38903,63237,61967,205106,Maryland,2013
24031,Montgomery,106506,137029,178529,216072,699058,Maryland,2013
24033,Prince,155747,168607,103488,75040,590099,Maryland,2013
24037,St.,22580,19802,13272,7554,70537,Maryland,2013
24043,Washington,37821,29309,14972,7915,103385,Maryland,2013
24045,Wicomico,21422,16911,10380,6121,63132,Maryland,2013
24510,Baltimore,122048,101379,62996,57438,420247,Maryland,2013
25001,Barnstable,44584,50797,34368,26771,164797,Massachusetts,2013
25003,Berkshire,28714,25034,15751,14375,93035,Massachusetts,2013
25005,Bristol,116820,104816,57974,34718,379664,Massachusetts,2013
25009,Essex,137196,135914,119683,75583,521910,Massachusetts,2013
25011,Franklin,13387,14366,9535,10116,52199,Massachusetts,2013
25013,Hampden,97771,86125,46123,31288,310108,Massachusetts,2013
25015,Hampshire,26032,24846,20020,21406,97320,Massachusetts,2013
25017,Middlesex,230088,205526,288009,275781,1082311,Massachusetts,2013
25021,Norfolk,103047,101052,130966,112808,478688,Massachusetts,2013
25023,Plymouth,102156,98332,77985,42544,345395,Massachusetts,2013
25025,Suffolk,123314,95572,119286,94324,510729,Massachusetts,2013
25027,Worcester,162788,145393,112518,75208,548851,Massachusetts,2013
26005,Allegan,27494,22960,11091,5694,75184,Michigan,2013
26017,Bay,,,,,,Michigan,2013
26021,Berrien,33333,34469,15927,10554,106438,Michigan,2013
26025,Calhoun,29704,33695,12197,6736,90846,Michigan,2013
26037,Clinton,,,,,,Michigan,2013
26045,Eaton,22138,29991,11691,6157,75081,Michigan,2013
26049,Genesee,86714,104496,31778,21763,277853,Michigan,2013
26055,Grand,16896,23253,11426,7308,63430,Michigan,2013
26065,Ingham,35167,56831,34039,28759,168000,Michigan,2013
26073,Isabella,11755,12002,6573,3583,37059,Michigan,2013
26075,Jackson,37269,39827,13384,7487,109074,Michigan,2013
26077,Kalamazoo,38601,55630,32648,21956,159189,Michigan,2013
26081,Kent,96011,125069,87525,49051,401769,Michigan,2013
26087,Lapeer,24256,20419,6747,4717,61087,Michigan,2013
26091,Lenawee,25123,22048,9200,4538,67430,Michigan,2013
26093,Livingston,32471,46340,27133,15101,126122,Michigan,2013
26099,Macomb,176120,206285,91616,45834,591956,Michigan,2013
26103,Marquette,13952,14406,8970,4456,44986,Michigan,2013
26111,Midland,15949,17457,11545,7513,57490,Michigan,2013
26115,Monroe,34835,37252,14146,5824,102694,Michigan,2013
26121,Muskegon,41004,41497,13451,6396,114526,Michigan,2013
26125,Oakland,174211,245490,215981,158570,855070,Michigan,2013
26139,Ottawa,47637,54920,35035,15185,166903,Michigan,2013
26145,Saginaw,43696,44786,17732,9417,131456,Michigan,2013
26147,St.,38430,40363,12852,7039,110704,Michigan,2013
26155,Shiawassee,,,,,,Michigan,2013
26159,Van,,,,,,Michigan,2013
26161,Washtenaw,34369,56453,56089,61487,219688,Michigan,2013
26163,Wayne,350333,380983,153982,104096,1167121,Michigan,2013
27003,Anoka,65447,83003,45141,17798,228624,Minnesota,2013
27013,Blue,11808,13359,7894,3485,38548,Minnesota,2013
27019,Carver,13106,16730,21315,7314,61051,Minnesota,2013
27037,Dakota,59270,87532,74363,36129,273254,Minnesota,2013
27053,Hennepin,152024,228424,248389,132967,821205,Minnesota,2013
27109,Olmsted,22621,32032,24379,16605,100596,Minnesota,2013
27123,Ramsey,75381,95427,86039,56018,345974,Minnesota,2013
27131,Rice,12808,13332,6327,4163,40293,Minnesota,2013
27137,St.,39888,49386,25058,11094,136457,Minnesota,2013
27139,Scott,20169,29318,23936,9364,87122,Minnesota,2013
27141,Sherburne,,,,,,Minnesota,2013
27145,Stearns,27551,34099,15908,7671,92772,Minnesota,2013
27163,Washington,37452,53212,44519,22578,164270,Minnesota,2013
27171,Wright,,,,,,Minnesota,2013
28033,DeSoto,31568,41191,17840,6188,108197,Mississippi,2013
28035,Forrest,13234,13583,7186,6261,47027,Mississippi,2013
28047,Harrison,38291,46003,16181,9914,127596,Mississippi,2013
28049,Hinds,38555,49476,25093,16749,153716,Mississippi,2013
28059,Jackson,30683,32408,10928,5698,92210,Mississippi,2013
28067,Jones,,,,,,Mississippi,2013
28075,Lauderdale,17293,18666,6386,3140,52503,Mississippi,2013
28081,Lee,14762,17263,8448,5330,55381,Mississippi,2013
28089,Madison,,,,,,Mississippi,2013
28121,Rankin,27304,33564,18708,10001,99108,Mississippi,2013
29019,Boone,20459,27581,25562,19889,100431,Missouri,2013
29021,Buchanan,24399,17789,7503,3173,60196,Missouri,2013
29031,Cape,,,,,,Missouri,2013
29037,Cass,22120,23191,11020,6195,66646,Missouri,2013
29043,Christian,17187,16377,9878,4938,52589,Missouri,2013
29047,Clay,43857,51636,30763,14441,152942,Missouri,2013
29051,Cole,17255,14570,10296,4406,51304,Missouri,2013
29071,Franklin,,,,,,Missouri,2013
29077,Greene,53759,60264,32333,20207,184201,Missouri,2013
29095,Jackson,136314,143868,81290,46892,455571,Missouri,2013
29097,Jasper,28047,21608,11296,4649,74656,Missouri,2013
29099,Jefferson,50810,54065,17228,10924,149994,Missouri,2013
29165,Platte,15047,20435,15499,9014,62628,Missouri,2013
29183,St.,62767,83194,63008,26674,249855,Missouri,2013
29187,St.,,,,,,Missouri,2013
29189,St.,145640,202838,172976,117975,686741,Missouri,2013
29510,St.,48089,64170,40482,29190,218350,Missouri,2013
30013,Cascade,17529,18015,10992,5364,55671,Montana,2013
30029,Flathead,16938,27161,12617,5436,64547,Montana,2013
30031,Gallatin,10706,19797,17934,9020,59453,Montana,2013
30049,Lewis,10756,16680,10107,5472,45213,Montana,2013
30063,Missoula,15683,23642,18113,10835,72653,Montana,2013
30111,Yellowstone,32122,35264,19216,8896,104797,Montana,2013
31055,Douglas,72542,108438,81004,45842,347774,Nebraska,2013
31109,Lancaster,41770,62098,44258,23700,184092,Nebraska,2013
31153,Sarpy,25234,37548,26304,12437,106127,Nebraska,2013
32003,Clark,393843,451333,200768,98047,1353129,Nevada,2013
32031,Washoe,67654,103690,54419,28475,292272,Nevada,2013
33005,Cheshire,17450,13979,11000,5997,52466,New Hampshire,2013
33009,Grafton,18571,16202,11776,10509,61620,New Hampshire,2013
33011,Hillsborough,80060,78979,62119,34114,278775,New Hampshire,2013
33013,Merrimack,29749,29614,21542,13225,102886,New Hampshire,2013
33015,Rockingham,55975,64119,53795,30557,213106,New Hampshire,2013
33017,Strafford,22438,24837,17729,8729,79927,New Hampshire,2013
34001,Atlantic,65242,49860,29655,14451,187666,New Jersey,2013
34003,Bergen,158355,130865,189961,116465,649902,New Jersey,2013
34005,Burlington,93216,86426,70222,39772,311957,New Jersey,2013
34007,Camden,112696,93467,63160,36507,346960,New Jersey,2013
34009,Cape,23182,16819,16340,7527,70788,New Jersey,2013
34011,Cumberland,43747,24807,9850,4613,105474,New Jersey,2013
34013,Essex,153831,118527,102643,67267,522720,New Jersey,2013
34015,Gloucester,69818,52580,39444,17767,196300,New Jersey,2013
34017,Hudson,120023,92734,104857,65638,464947,New Jersey,2013
34019,Hunterdon,20165,22656,25330,15717,87749,New Jersey,2013
34021,Mercer,62051,52039,54195,46031,248058,New Jersey,2013
34023,Middlesex,143747,124667,135915,92428,562819,New Jersey,2013
34025,Monmouth,110472,106671,116781,69057,434984,New Jersey,2013
34027,Morris,76923,66837,105925,73273,346301,New Jersey,2013
34029,Ocean,147601,106683,69903,34243,402405,New Jersey,2013
34031,Passaic,119133,70647,55475,27831,330022,New Jersey,2013
34033,Salem,,,,,,New Jersey,2013
34035,Somerset,49270,44456,67951,52252,228112,New Jersey,2013
34037,Sussex,29223,31005,23477,11943,101509,New Jersey,2013
34039,Union,107813,88842,71590,47724,368435,New Jersey,2013
34041,Warren,25603,19327,14679,8364,74312,New Jersey,2013
35001,Bernalillo,105072,141767,83310,65163,450240,New Mexico,2013
35005,Chaves,,,,,,New Mexico,2013
35013,Do?a,28254,36000,21439,14034,127084,New Mexico,2013
35025,Lea,,,,,,New Mexico,2013
35031,McKinley,,,,,,New Mexico,2013
35035,Otero,13756,16249,3313,3229,41794,New Mexico,2013
35043,Sandoval,25285,32068,14241,11308,91174,New Mexico,2013
35045,San,,,,,,New Mexico,2013
35049,Santa,24639,25888,24769,19701,106620,New Mexico,2013
35061,Valencia,,,,,,New Mexico,2013
36001,Albany,54185,55995,43216,36593,204462,New York,2013
36005,Bronx,248942,220259,102901,61205,887739,New York,2013
36007,Broome,45805,37423,20986,14166,131658,New York,2013
36009,Cattaraugus,22127,15819,4994,4209,53530,New York,2013
36011,Cayuga,19211,17791,7349,4739,56305,New York,2013
36013,Chautauqua,32348,29635,8930,7920,90156,New York,2013
36015,Chemung,22610,16941,7749,6827,60937,New York,2013
36019,Clinton,,,,,,New York,2013
36027,Dutchess,52291,60388,35237,31907,201605,New York,2013
36029,Erie,176161,196360,110496,90100,633744,New York,2013
36045,Jefferson,24801,25864,8430,5529,73937,New York,2013
36047,Kings,451568,345654,343835,224721,1733746,New York,2013
36051,Livingston,,,,,,New York,2013
36053,Madison,15058,14388,6979,6284,47320,New York,2013
36055,Monroe,125293,147641,100847,82004,504245,New York,2013
36059,Nassau,220694,221320,218784,178948,930419,New York,2013
36061,New,161593,161900,405983,337085,1230210,New York,2013
36063,Niagara,52752,47026,19927,15097,149301,New York,2013
36065,Oneida,55942,48515,20148,14634,159761,New York,2013
36067,Onondaga,84378,97238,56784,47459,313870,New York,2013
36069,Ontario,23372,21998,14635,9611,75257,New York,2013
