FIPS,County,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Total,State,Year
12119,Sumter,28883,28196,10282,7648,85944,Florida,2011
12127,Volusia,117616,121225,44859,25901,357918,Florida,2011
13013,Barrow,,,,,,Georgia,2011
13015,Bartow,,,,,,Georgia,2011
13021,Bibb,32045,27453,13370,7826,99914,Georgia,2011
13031,Bulloch,,,,,,Georgia,2011
13045,Carroll,,,,,,Georgia,2011
13051,Chatham,48519,51001,36081,17668,174888,Georgia,2011
13057,Cherokee,33981,41589,35432,14524,141884,Georgia,2011
13059,Clarke,13630,15226,11027,12750,59949,Georgia,2011
13063,Clayton,49857,48704,16905,9882,156244,Georgia,2011
13067,Cobb,92427,126875,127320,66591,457742,Georgia,2011
13073,Columbia,20917,26401,17284,11469,83259,Georgia,2011
13077,Coweta,,,,,,Georgia,2011
13089,DeKalb,101576,123073,113665,70377,463917,Georgia,2011
13095,Dougherty,20046,17991,4838,3771,58815,Georgia,2011
13097,Douglas,24170,25456,15305,7795,82929,Georgia,2011
13113,Fayette,,,,,,Georgia,2011
13115,Floyd,,,,,,Georgia,2011
13117,Forsyth,,,,,,Georgia,2011
13121,Fulton,115781,145037,195281,105524,623346,Georgia,2011
13127,Glynn,,,,,,Georgia,2011
13135,Gwinnett,118706,148755,119948,55585,516801,Georgia,2011
13139,Hall,36719,29031,16054,10367,115637,Georgia,2011
13151,Henry,41810,39137,23809,11677,128568,Georgia,2011
13153,Houston,26112,30613,13140,10142,90841,Georgia,2011
13179,Liberty,10420,16718,5096,1850,36723,Georgia,2011
13185,Lowndes,21642,18279,7747,5899,63223,Georgia,2011
13215,Muscogee,34338,41479,18375,10041,120470,Georgia,2011
13217,Newton,,,,,,Georgia,2011
13223,Paulding,,,,,,Georgia,2011
13245,Richmond,44088,37336,16016,9704,127718,Georgia,2011
13247,Rockdale,17425,16465,8546,3782,55926,Georgia,2011
13285,Troup,15729,11739,5021,3526,43318,Georgia,2011
13295,Walker,,,,,,Georgia,2011
13297,Walton,,,,,,Georgia,2011
13313,Whitfield,,,,,,Georgia,2011
15001,Hawaii,43254,43998,18571,11077,129690,Hawaii,2011
15003,Honolulu,177569,213256,132553,67615,652231,Hawaii,2011
15007,Kauai,,,,,,Hawaii,2011
15009,Maui,32835,36399,19631,10284,109245,Hawaii,2011
16001,Ada,57623,90638,64559,29766,259980,Idaho,2011
16005,Bannock,14080,18025,8644,4280,49958,Idaho,2011
16019,Bonneville,17280,23823,12749,5060,63181,Idaho,2011
16027,Canyon,35675,37845,13751,5684,114092,Idaho,2011
16055,Kootenai,27625,37445,15616,6376,94788,Idaho,2011
16083,Twin,,,,,,Idaho,2011
17001,Adams,,,,,,Illinois,2011
17019,Champaign,25910,31663,23632,24968,112988,Illinois,2011
17031,Cook,863392,882482,728638,462502,3484554,Illinois,2011
17037,DeKalb,17089,21135,10694,5570,60425,Illinois,2011
17043,DuPage,124268,167098,173134,106805,619937,Illinois,2011
17089,Kane,76637,90952,66427,37549,326817,Illinois,2011
